"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","","P","I","","N","NR","Other"
"754
PHYSICS","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","",""
"623","001 301","8
3.500",".","87.5","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".","12.5","."
"623","001 302","3
3.667","66.7",".","33.3","",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Electronic Aids to Measmnt","Course Total","11
3.550","18.2","63.6","","9.1",".","",".","",".","",".",".",".",".","",".",".","",".",".","9.1","."
"Senior Honors Thesis
681","096","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"Senior Thesis
691","002","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"Theoreticl Physics-Dynamics
711","001","23
3.587","56.5","30.4","","8.7",".","",".","",".","","4.3",".",".",".","",".",".","",".",".",".","."
"Statistical Mechanics
715","001","17
3.294","23.5","23.5","47.1","",".","","5.9","",".","",".",".",".",".","",".",".","",".",".",".","."
"Theor Physics-Electrodynmcs
721","001","17
3.529","41.2","23.5","35.3","",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Waves&Instabilities-Plasmas
724","001","5
3.500","40.0","20.0","40.0","",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Quantum Mechanics
731","001 301","38
3.153","13.2","26.3","42.1","","2.6","","10.5","",".","",".",".",".",".","",".",".","",".","2.6","2.6","."
"Linear Waves
748","001","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Many-Body Prob-Solid St Phy
752","001","6
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Topics-Theoretical Physics
801","001","5
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Advanced Quantum Mechanics
831","001","8
3.000","12.5","25.0","25.0","",".","","25.0","",".","",".",".",".",".","",".",".","",".","12.5",".","."
"Collider Phys Phenomenology
835","001","11
4.000","90.9",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".","9.1",".","."
"Seminar in Plasma Physics
922","001","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","001","5",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","002","2",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","003","4",".",".","",".",".","",".","",".","",".","75.0",".",".","",".","25.0","",".",".",".","."
"990","006","3",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","007","2",".",".","",".",".","",".","",".","",".",".",".",".","",".",".","",".",".","100.0","."
"990","008","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","014","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","015","3",".",".","",".",".","",".","",".","",".","33.3",".",".","",".","66.7","",".",".",".","."
"990","036","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","037","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","040","4",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","048","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","049","3",".",".","",".",".","",".","",".","",".",".","33.3",".","",".","66.7","",".",".",".","."
"990","053","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","054","5",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","058","7",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","061","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","062","3",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","063","2",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","068","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","070","2",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","071","3",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","073","2",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","074","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","075","4",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","077","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","080","3",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","083","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","087","3",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"990","088","1",".",".","",".",".","",".","",".","",".",".",".",".","",".","100.0","",".",".",".","."
"990","093","1",".",".","",".",".","",".","",".","",".","100.0",".",".","",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 309 of 441",""
