"GEOGRAPHY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"416
GEOG","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682
045","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","698
045","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
009","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
025","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
032","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
080","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
090","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.941","90.0",".","10.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro:Geogrphc Inquiry&Anal","765
001","","20","4.000","95.0",".",".",".","",".","",".","",".","5.0",".",".",".",".",".",".",".","."
"","799
016","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".",".",".","100.0","."
"","799
038","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
045","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","799
080","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","25.0",".","25.0","."
"Seminar-Cultural Geography","901
001","","8","3.950","75.0","12.5",".",".","",".","",".","",".",".",".",".",".",".","12.5",".",".","."
"Smr-Political Geography","918
001","","6","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Physical Geography","920
001","","10","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-People/Environment Geog","930
001","","17","3.915","76.5","17.6",".",".","",".","",".","",".",".",".",".",".",".","5.9",".",".","."
"","990
009","","6","",".",".",".",".","",".","",".","",".","16.7",".",".",".","83.3",".",".",".","."
"","990
016","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
021","","9","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
024","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
025","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
032","","5","",".",".",".",".","",".","",".","",".","80.0","20.0",".",".",".",".",".",".","."
"","990
038","","4","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
042","","4","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
080","","5","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
099","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
39","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
48","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","42","",".",".",".",".","",".","",".","",".","35.7","2.4",".",".","61.9",".",".",".","."
"","999
021","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","999
032","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
045","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
046","","6","4.000","16.7",".",".",".","",".","",".","",".",".",".",".",".",".","83.3",".",".","."
"","999
074","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
076","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
080","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Work","Course Total","","12","4.000","50.0",".",".",".","",".","",".","",".","8.3",".",".",".",".","41.7",".",".","."
