"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","210
007 373","23","3.130","26.1","17.4","30.4","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","90","3.144","28.9","18.9","26.7","12.2","8.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","694","3.025","26.1","14.0","27.1","9.9","15.6","5.3","1.6",".",".",".",".",".","0.3",".",".","."
"","211
001 302","23","2.761","21.7","8.7","34.8","4.3","17.4","4.3","8.7",".",".",".",".",".",".",".",".","."
"","211
001 307","20","2.975","15.0","15.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","211
001 308","17","2.882","17.6",".","52.9",".","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","211
001 310","21","3.095","33.3","19.0","23.8",".","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","211
001 311","14","2.692","21.4",".","28.6","14.3","21.4",".","7.1",".",".",".",".",".","7.1",".",".","."
"","211
001 301","17","2.971","17.6","5.9","52.9",".","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","Section Total","112","2.905","21.4","8.9","38.4","4.5","19.6","2.7","3.6",".",".",".",".",".","0.9",".",".","."
"","211
002 321","9","2.222","33.3",".","22.2",".",".","11.1","33.3",".",".",".",".",".",".",".",".","."
"","211
002 322","18","2.861","22.2","11.1","22.2","5.6","22.2","16.7",".",".",".",".",".",".",".",".",".","."
"","211
002 324","19","3.000","15.8","26.3","21.1","15.8","5.3","15.8",".",".",".",".",".",".",".",".",".","."
"","211
002 327","20","2.175","5.0","10.0","5.0","55.0","5.0",".","20.0",".",".",".",".",".",".",".",".","."
"","211
002 330","21","2.643","19.0","19.0","19.0","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","211
002 333","21","2.625","4.8","19.0","33.3","14.3","9.5","4.8","9.5",".",".",".",".",".","4.8",".",".","."
"","211
002 334","18","2.861","5.6","16.7","38.9","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","211
002 328","22","2.591","9.1","18.2","22.7","18.2","13.6","9.1","9.1",".",".",".",".",".",".",".",".","."
"","Section Total","148","2.643","12.8","16.2","23.0","19.6","10.8","7.4","9.5",".",".",".",".",".","0.7",".",".","."
"","211
003","24","3.021","29.2","16.7","25.0","4.2","16.7","4.2","4.2",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","284","2.778","17.6","13.4","29.2","12.3","14.8","5.3","6.7",".",".",".",".",".","0.7",".",".","."
"","213
001 301","10","3.125","10.0","30.0","20.0","10.0","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"","213
001 302","8","3.000","12.5",".","37.5","25.0",".",".",".","25.0",".",".",".",".",".",".",".","."
"","213
001 304","10","2.750","10.0","10.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","213
001 303","8","3.063","12.5","12.5","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","36","2.969","11.1","13.9","30.6","25.0","8.3",".",".","11.1",".",".",".",".",".",".",".","."
"","213
002 326","20","2.974","25.0","10.0","25.0","5.0","15.0","15.0",".","5.0",".",".",".",".",".",".",".","."
"","213
002 325","16","2.808","6.3","18.8","25.0",".","18.8","12.5",".","12.5",".",".",".",".",".",".","6.3","."
"","213
002 324","20","3.150","30.0","20.0","20.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","213
002 323","22","2.881","13.6","18.2","18.2","22.7","18.2","4.5",".","4.5",".",".",".",".",".",".",".","."
"","Section Total","78","2.966","19.2","16.7","21.8","10.3","17.9","7.7",".","5.1",".",".",".",".",".",".","1.3","."
"Calc/Intro-Differntl Equats","Course Total","114","2.967","16.7","15.8","24.6","14.9","14.9","5.3",".","7.0",".",".",".",".",".",".","0.9","."
"","221
001 305","20","2.425","15.0","10.0","10.0","15.0","25.0","15.0","10.0",".",".",".",".",".",".",".",".","."
"","221
001 310","22","2.905","45.5",".","13.6",".","18.2","9.1","9.1","4.5",".",".",".",".",".",".",".","."
"","221
001 313","19","2.816","15.8","5.3","42.1",".","21.1","15.8",".",".",".",".",".",".",".",".",".","."
"","221
001 312","19","2.079","5.3","5.3","10.5",".","52.6","15.8","10.5",".",".",".",".",".",".",".",".","."
"","221
001 309","22","2.477","4.5",".","36.4","4.5","50.0","4.5",".",".",".",".",".",".",".",".",".","."
"","221
001 307","24","2.646","16.7","4.2","37.5","8.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".","."
"","221
001 304","19","2.579","21.1",".","21.1","10.5","36.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","221
001 303","23","2.413","13.0","8.7","26.1","4.3","30.4","4.3","13.0",".",".",".",".",".",".",".",".","."
"","221
001 301","22","2.477","22.7",".","18.2","4.5","40.9","4.5","9.1",".",".",".",".",".",".",".",".","."
"","221
001 308","22","3.000","22.7",".","54.5",".","22.7",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","212","2.585","18.4","3.3","27.4","4.7","31.1","8.0","6.6","0.5",".",".",".",".",".",".",".","."
"","221
002 329","18","2.139","22.2",".","11.1","5.6","22.2","16.7","22.2",".",".",".",".",".",".",".",".","."
"","221
002 333","20","2.925","15.0","10.0","45.0","5.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","221
002 334","16","2.625","18.8","6.3","25.0","6.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"","221
002 332","20","2.850","25.0","5.0","25.0","5.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"","221
002 321","18","3.028","44.4","5.6","22.2","11.1","5.6",".","11.1",".",".",".",".",".",".",".",".","."
