"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"100","050","","12","3.042","25.0","25.0","25.0","16.7",".",".","8.3","",".","",".",".","",".","",".",".",".",".","."
"100","051","","15","3.536","26.7","46.7","20.0",".",".",".",".","",".","",".",".","",".","",".",".",".","6.7","."
"100","052","","12","3.208",".","75.0","8.3",".","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","053","","13","2.615","15.4","23.1","23.1","7.7","15.4",".","15.4","",".","",".",".","",".","",".",".",".",".","."
"100","054","","13","3.542","15.4","69.2","7.7",".",".",".",".","",".","",".",".","",".","",".",".","7.7",".","."
"100","055","","13","2.962","7.7","30.8","23.1","23.1","15.4",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","056","","14","3.000",".","21.4","42.9","21.4",".",".",".","",".","",".",".","",".","",".","7.1","7.1",".","."
"100","057","","15","3.833","73.3","20.0","6.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","058","","10","3.150","10.0","70.0","10.0",".",".",".","10.0","",".","",".",".","",".","",".",".",".",".","."
"100","059","","13","3.000","7.7","23.1","38.5","23.1","7.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","060","","15","3.167",".","60.0","13.3","26.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","061","","15","2.964",".","33.3","40.0",".","13.3","6.7",".","",".","",".",".","",".","",".","6.7",".",".","."
"100","062","","15","3.267","13.3","46.7","26.7","6.7","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","063","","14","2.857",".","28.6","50.0","14.3",".",".","7.1","",".","",".",".","",".","",".",".",".",".","."
"100","064","","18","3.417","16.7","61.1","11.1","11.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Course Total","","880","3.219","14.0","40.8","29.4","9.3","3.4","1.1","1.1","",".","",".",".","",".","",".","0.5","0.2","0.1","."
"105","002","","12","3.000",".","41.7","25.0","25.0","8.3",".",".","",".","",".",".","",".","",".",".",".",".","."
