"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","112
001","20","2.425","15.0","10.0","5.0","5.0","60.0",".","5.0",".",".",".",".",".",".",".",".","."
"","112
002","21","2.476","14.3","9.5","23.8",".","33.3","9.5","9.5",".",".",".",".",".",".",".",".","."
"","112
004","21","1.875",".",".",".","14.3","57.1","14.3","9.5",".",".",".",".",".",".","4.8",".","."
"","112
005","24","3.104","37.5","8.3","16.7","12.5","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","112
006","18","2.806","27.8","5.6","16.7",".","44.4","5.6",".",".",".",".",".",".",".",".",".","."
"","112
007","19","2.526","21.1","5.3","21.1","5.3","21.1","15.8","10.5",".",".",".",".",".",".",".",".","."
"","112
014","15","2.200","13.3",".","20.0",".","40.0","13.3","13.3",".",".",".",".",".",".",".",".","."
"","112
015","22","2.350","13.6","9.1","9.1",".","36.4","13.6","9.1",".",".",".",".",".",".","9.1",".","."
"","112
016","23","2.870","30.4","4.3","26.1","4.3","30.4",".","4.3",".",".",".",".",".",".",".",".","."
"","112
017","20","2.925","25.0","5.0","25.0","20.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","112
018","17","2.382","23.5",".","5.9","17.6","41.2",".","11.8",".",".",".",".",".",".",".",".","."
"","112
021","22","2.614","9.1","9.1","27.3","22.7","27.3",".","4.5",".",".",".",".",".",".",".",".","."
"","112
022","21","2.429",".","14.3","19.0","4.8","52.4","9.5",".",".",".",".",".",".",".",".",".","."
"","112
023","23","2.283","21.7","4.3","4.3",".","43.5","13.0","13.0",".",".",".",".",".",".",".",".","."
"","112
024","23","2.783","26.1",".","34.8",".","30.4","4.3","4.3",".",".",".",".",".",".",".",".","."
"","112
025","22","2.318","13.6",".","27.3","9.1","31.8","4.5","13.6",".",".",".",".",".",".",".",".","."
"","112
026","21","2.405","19.0",".","19.0","4.8","42.9","4.8","9.5",".",".",".",".",".",".",".",".","."
"","112
029","24","2.854","29.2","8.3","16.7","12.5","29.2",".","4.2",".",".",".",".",".",".",".",".","."
"","112
030","22","2.375","9.1",".","22.7","4.5","40.9","9.1","4.5",".",".",".",".",".","4.5","4.5",".","."
"","112
031","17","2.912","23.5","5.9","35.3",".","29.4","5.9",".",".",".",".",".",".",".",".",".","."
"","112
032","22","2.409","9.1",".","18.2","9.1","50.0","13.6",".",".",".",".",".",".",".",".",".","."
"","112
033","23","2.457","13.0","17.4","8.7","4.3","26.1","21.7","8.7",".",".",".",".",".",".",".",".","."
"","112
034","22","2.000","4.5",".","13.6","9.1","45.5","13.6","13.6",".",".",".",".",".",".",".",".","."
"","112
037","20","2.625","15.0","20.0","20.0","5.0","30.0",".","10.0",".",".",".",".",".",".",".",".","."
"","112
038","22","2.591","22.7","4.5","4.5","4.5","63.6",".",".",".",".",".",".",".",".",".",".","."
"","112
039","22","1.976",".",".","18.2","13.6","40.9","9.1","13.6",".",".",".",".",".","4.5",".",".","."
"","112
040","13","2.273","7.7","7.7",".","23.1","23.1","15.4","7.7",".",".",".",".",".","15.4",".",".","."
"","112
041","14","2.500","28.6",".","7.1",".","57.1",".","7.1",".",".",".",".",".",".",".",".","."
"","112
042","11","2.773","27.3","9.1","18.2","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"","112
047","18","2.056","5.6",".","16.7",".","50.0","16.7","11.1",".",".",".",".",".",".",".",".","."
"","112
048","23","2.196","8.7",".","21.7","13.0","34.8","8.7","13.0",".",".",".",".",".",".",".",".","."
"","112
049","21","2.571","19.0",".","23.8","9.5","33.3","9.5","4.8",".",".",".",".",".",".",".",".","."
"","112
050","17","2.706","11.8","11.8","29.4",".","41.2","5.9",".",".",".",".",".",".",".",".",".","."
"","112
051","9","2.778","33.3",".","11.1",".","33.3","22.2",".",".",".",".",".",".",".",".",".","."
"","112
056","20","2.100","10.0","5.0","10.0","5.0","45.0","10.0","15.0",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","692","2.482","16.5","5.1","17.3","7.2","38.0","7.8","6.9",".",".",".",".",".","0.6","0.6",".","."
"","113
001","18","3.194","44.4","11.1","22.2","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","113
003","19","2.947","26.3","10.5","26.3","21.1","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","113
004","19","2.722","5.3","10.5","36.8","10.5","21.1","10.5",".",".",".",".",".",".","5.3",".",".","."
"","113
005","21","3.071","38.1","14.3","14.3","9.5","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","113
007","16","2.700","6.3","12.5","31.3","6.3","25.0","12.5",".",".",".",".",".",".",".","6.3",".","."
"","113
008","22","2.909","13.6","4.5","59.1","13.6",".","4.5","4.5",".",".",".",".",".",".",".",".","."
"","113
010","19","2.553","10.5","10.5","36.8","5.3","15.8","10.5","10.5",".",".",".",".",".",".",".",".","."
"","113
011","21","2.976","28.6","4.8","33.3","19.0","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","113
012","23","3.217","34.8","4.3","34.8","21.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","113
013","22","3.091","31.8","9.1","22.7","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","113
014","24","2.068",".","4.2","12.5","25.0","20.8","16.7","12.5",".",".",".",".",".","4.2",".","4.2","."
"","113
015","19","2.789","21.1","15.8","26.3","15.8","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"","113
017","15","2.467","6.7","13.3","20.0","40.0","6.7",".","13.3",".",".",".",".",".",".",".",".","."
