"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"736
PHILOS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","341
002 323","20","3.250","10.0","55.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","341
002 321","21","2.714","4.8","28.6","28.6","19.0","4.8","4.8","9.5",".",".",".",".",".",".",".",".","."
"","341
002 322","19","3.263","21.1","31.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","81","3.088","12.3","34.6","28.4","14.8","4.9","1.2","2.5","1.2",".",".",".",".",".",".",".","."
"","341
003 335","15","4.000","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","73.3"
"","341
003 334","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
003 333","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
003 332","23","3.565","30.4","60.9","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","341
003 331","19","3.579","57.9","31.6","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","Section Total","90","3.677","44.4","38.9","2.2",".","1.1",".","1.1",".",".",".",".",".",".",".",".","12.2"
"","341
092","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","22","3.568","31.8","50.0","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","15","3.267","6.7","53.3","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","311","3.279","23.8","34.7","19.0","10.0","6.4","0.3","1.0","0.6",".",".",".",".","0.6",".",".","3.5"
"","430
001 301","15","3.643","46.7","33.3","6.7","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","430
001 302","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
001 305","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Hist of Ancient Philosophy","Course Total","42","3.688","52.4","28.6","11.9","2.4",".",".",".",".",".",".",".",".","2.4",".","2.4","."
"","432
001 305","17","3.300","17.6","23.5","41.2","5.9",".",".",".",".",".",".",".",".",".",".","11.8","."
"","432
001 303","23","3.370","30.4","26.1","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","432
001 302","21","3.400","28.6","28.6","28.6","9.5",".",".",".",".",".",".",".",".","4.8",".",".","."
"History-Modern Philosophy","Course Total","61","3.362","26.2","26.2","34.4","6.6","1.6",".",".",".",".",".",".",".","1.6",".","3.3","."
"","440
001 304","20","3.175","25.0","25.0","35.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","440
001 303","20","3.025","15.0","20.0","50.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","440
001 302","20","3.361","10.0","45.0","35.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"French Philos-Existentialsm","Course Total","60","3.181","16.7","30.0","40.0","5.0","1.7",".","3.3","3.3",".",".",".",".",".",".",".","."
"","441
001 302","9","3.111","22.2","22.2","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001 305","17","3.500","47.1","23.5","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","441
001 303","10","3.300","30.0","40.0","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","441
001 301","15","3.538","40.0","26.7","13.3",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
