"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"932
STAT","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","571
002 323","","18","3.389","11.1","55.6","33.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","571
002 321","","21","3.571","42.9","28.6","28.6",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","Section Total","","53","3.434","28.3","32.1","37.7","1.9","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","110","3.514","34.5","33.6","30.0","0.9","",".","",".","",".","0.9",".",".",".",".","",".",".",".","."
"","575
001 311","","20","3.735","50.0","30.0",".","5.0","",".","",".","",".","15.0",".",".",".",".","",".",".",".","."
"","575
001 312","","12","3.550","25.0","41.7","16.7",".","",".","",".","",".","16.7",".",".",".",".","",".",".",".","."
"Statistical Meths-Spatial Data","Course Total","","32","3.667","40.6","34.4","6.3","3.1","",".","",".","",".","15.6",".",".",".",".","",".",".",".","."
"Mathematical Statistics I","609
001 311","","21","3.556","28.6","38.1","19.0",".","",".","",".","",".","14.3",".",".",".",".","",".",".",".","."
"Intro-Stochastic Processes","632
001","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Stat Mthds for Clin Trials","641
001","","18","3.750","66.7","22.2","5.6","5.6","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Special Topics-Statistics","692
001","","4","4.000","75.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".","25.0","."
"Applied Time Series Anal I","701
001 312","","13","3.500","30.8","30.8","30.8",".","",".","",".","",".","7.7",".",".",".",".","",".",".",".","."
"Mathematical Statistics","709
001 311","","24","3.458","29.2","33.3","37.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Multivariate Analysis I","760
001","","13","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775
001","","14","3.808","64.3","21.4","7.1",".","",".","",".","",".","7.1",".",".",".",".","",".",".",".","."
"Experimental Design I","803
001","","9","3.778","66.7","22.2","11.1",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Theory of Probability","831
001","","17","3.500","41.2","17.6","41.2",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Topics in Probability","833
001","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Time Series Analysis I","840
001","","11","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","849
001 311","","14","3.500","35.7","28.6","35.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","849
001 312","","23","3.717","52.2","39.1","8.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Thry&Appl-Regress&AnalVar I","Course Total","","37","3.635","45.9","35.1","18.9",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","990
033","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
043","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
046","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
068","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
086","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
092","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
094","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
100","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
112","","4","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
114","","3","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
118","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
120","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
130","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
134","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
146","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","990
200","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
255","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research","Course Total","","29","",".",".",".",".","",".","",".","",".","72.4",".",".",".","27.6","",".",".",".","."
"Statistical Consulting","998
001","","9","3.556","33.3","44.4","22.2",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
