"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"296
ECON","","Grades","GPA","","","","","","","","","","","","","","","",""
"","101
003 373","24","2.854","33.3","4.2","16.7","8.3","25.0","8.3","4.2",".",".",".",".",".",".",".",".","."
"","101
003 372","23","3.477","47.8","13.0","21.7","8.7","4.3",".",".",".",".",".",".",".",".",".","4.3","."
"","Section Total","377","2.917","22.3","10.1","25.5","14.3","20.4","5.6","0.8","0.3",".",".",".",".",".",".","0.8","."
"","101
004 389","23","3.152","30.4","21.7","13.0","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".","."
"","101
004 384","22","2.977","22.7","13.6","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","101
004 385","24","3.021","37.5","8.3","12.5","20.8","8.3","8.3","4.2",".",".",".",".",".",".",".",".","."
"","101
004 386","24","2.917","16.7","20.8","8.3","37.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"","101
004 387","23","3.043","26.1","21.7","13.0","13.0","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","101
004 388","24","2.792","12.5","16.7","16.7","25.0","29.2",".",".",".",".",".",".",".",".",".",".","."
"","101
004 390","21","2.738","19.0","4.8","19.0","19.0","28.6","9.5",".",".",".",".",".",".",".",".",".","."
"","101
004 392","24","2.792","8.3","20.8","16.7","29.2","25.0",".",".",".",".",".",".",".",".",".",".","."
"","101
004 394","24","3.250","29.2","29.2","16.7","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","101
004 396","22","2.932","18.2","22.7","18.2","9.1","27.3","4.5",".",".",".",".",".",".",".",".",".","."
"","101
004 398","24","3.000","25.0","12.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","101
004 402","23","2.783","21.7","13.0","17.4","13.0","21.7","8.7","4.3",".",".",".",".",".",".",".",".","."
"","101
004 391","20","2.947","10.0","20.0","30.0","20.0","15.0",".",".",".",".",".",".",".","5.0",".",".","."
"","Section Total","298","2.951","21.5","17.4","17.1","19.8","19.1","4.0","0.7",".",".",".",".",".","0.3",".",".","."
"Principles-Microeconomics","Course Total","1408","2.885","19.3","13.6","22.8","16.9","19.8","5.0","1.4","0.4",".",".",".",".","0.6",".","0.2","."
"","102
001 309","24","3.022","25.0","12.5","29.2",".","29.2",".",".",".",".",".",".",".","4.2",".",".","."
"","102
001 318","21","2.643","14.3","19.0",".","14.3","33.3","19.0",".",".",".",".",".",".",".",".",".","."
"","102
001 317","21","2.714","14.3","4.8","19.0","33.3","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"","102
001 316","24","3.063","12.5","25.0","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
001 312","21","2.905","9.5","28.6","28.6","19.0","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","102
001 308","19","3.056","21.1","26.3","10.5","15.8","15.8","5.3",".","5.3",".",".",".",".",".",".",".","."
"","102
001 306","20","2.882","30.0",".","5.0","20.0","30.0",".",".","5.0",".",".",".",".","5.0","5.0",".","."
"","102
001 305","22","3.023","18.2","22.7","22.7","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","102
001 304","23","2.935","26.1","4.3","17.4","34.8","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","102
001 303","23","3.091","26.1","17.4","13.0","26.1","8.7","4.3",".",".",".",".",".",".","4.3",".",".","."
"","102
001 301","22","3.205","18.2","31.8","31.8","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","102
001 314","18","2.778","16.7","11.1","16.7","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","Section Total","258","2.948","19.4","17.1","19.8","18.6","17.8","4.7","0.4","0.8",".",".",".",".","1.2","0.4",".","."
"","102
002 329","20","3.150","15.0","40.0","20.0","10.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"","102
002 344","21","2.929","14.3","14.3","38.1","9.5","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"","102
002 342","25","2.900","24.0","16.0","16.0","20.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","102
002 341","20","2.750","15.0","5.0","25.0","25.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002 340","21","3.286","33.3","23.8","19.0","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
