"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"500
ILS","","Grades
GPA","","","","","","","","","","","","","","","","","","","","",""
"","150
001 310","9",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 309","12",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 308","15",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 307","14",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 306","15",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 303","13",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 305","12",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 311","4",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 304","6",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 301","10",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 312","5",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","150
001 302","14",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Ways of Knowing","Course Total","129",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
005","16",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
008","16",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
009","17",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
010","18",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
011","16",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
014","16",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
016","16",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
017","18",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
031","16",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
039","17",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
040","16",".",".","",".",".","",".","",".","",".",".",".","93.8",".",".","",".",".",".","6.3"
"","198
042","12",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
075","17",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
076","18",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
080","10",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
081","9",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
082","12",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
083","12",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"","198
084","7",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Directed Study","Course Total","279",".",".","",".",".","",".","",".","",".",".",".","99.6",".",".","",".",".",".","0.4"
"","199
012","23
3.130","13.0","30.4","","34.8","13.0","","8.7","",".","",".",".",".",".",".",".","",".",".",".","."
"","199
013","2
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","199
075","1
3.000",".",".","100.0","",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","199
076","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Directed Study","Course Total","27
3.343","22.2","25.9","33.3","","11.1","","7.4","",".","",".",".",".",".",".",".","",".",".",".","."
"","200
001 303","12
3.500","41.7","16.7","","41.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","200
001 302","13
3.385","30.8","30.8","","30.8",".","","7.7","",".","",".",".",".",".",".",".","",".",".",".","."
"","200
001 301","18
3.382","22.2","44.4","","16.7","5.6","","5.6","",".","",".",".",".",".",".",".","","5.6",".",".","."
"","200
001 305","13
3.192","15.4","7.7","","76.9",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","200
001 306","16
3.188",".","43.8","","50.0","6.3","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","200
001 307","15
3.200","20.0","20.0","","40.0","20.0","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","200
001 308","15
3.000","6.7","6.7","","73.3","6.7","","6.7","",".","",".",".",".",".",".",".","",".",".",".","."
"","200
001 304","15
3.367","20.0","46.7","","26.7",".","","6.7","",".","",".",".",".",".",".",".","",".",".",".","."
"Critical Thinkng & Expressn","Course Total","117
3.272","18.8","28.2","43.6","","5.1","","3.4","",".","",".",".",".",".",".",".","","0.9",".",".","."
"","201
001 307","18
2.971","22.2","16.7","","27.8","11.1","","11.1","",".","","5.6",".",".",".",".",".","",".",".",".","5.6"
