"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"271
CNSR SCI","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Consumer Finance","275
001","129","2.965","15.5","29.5","20.2","14.7","14.0","","3.1","3.1",".",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","86","3.814","73.3","19.8","4.7","1.2",".","","1.2",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
001","46","3.772","65.2","23.9","10.9",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","19","3.895","78.9","21.1",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","470
002","27","3.593","29.6","59.3","11.1",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","470
003","27","3.667","40.7","51.9","7.4",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","Course Total","54","3.630","35.2","55.6","9.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","36","3.208","22.2","22.2","36.1","13.9",".","","5.6",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
002","104","3.577","29.8","55.8","14.4",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478
002","76","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","501
001","22","3.545","54.5","13.6","22.7","4.5","4.5","",".",".",".",".",".",".",".",".",".",".","."
"","501
002","14","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","36","3.722","72.2","8.3","13.9","2.8","2.8","",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
001","64","3.602","59.4","18.8","9.4","7.8","4.7","",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001 301","39","3.833","74.4","17.9","7.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","565
001","14","3.750","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","565
002","15","3.633","53.3","26.7","13.3","6.7",".","",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","Course Total","29","3.690","51.7","37.9","6.9","3.4",".","",".",".",".",".",".",".",".",".",".",".","."
"Family Econ & Public Policy","575
001","21","3.452","23.8","47.6","23.8","4.8",".","",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","30","3.930","83.3","13.3","3.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","6","",".",".",".",".",".","",".",".",".",".","66.7",".",".",".",".",".","."
"Retailing Internship","603
015","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","57","3.366","14.0","61.4","14.0","7.0",".","",".","1.8",".",".",".",".",".","1.8",".",".","."
"","657
001","39","3.487","35.9","28.2","33.3","2.6",".","",".",".",".",".",".",".",".",".",".",".","."
"","657
002","75","3.753","68.0","17.3","13.3",".","1.3","",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","114","3.662","57.0","21.1","20.2","0.9","0.9","",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","31","3.194","16.1","25.8","41.9","12.9",".","","3.2",".",".",".",".",".",".",".",".",".","."
"","699
005","31","3.803","90.3",".","3.2","3.2",".","",".","3.2",".",".",".",".",".",".",".",".","."
"","699
009","16","3.875","75.0","25.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","47","3.833","85.1","8.5","2.1","2.1",".","",".","2.1",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960
001","12","3.444","33.3","33.3","25.0","8.3",".","",".",".",".",".",".",".",".",".",".",".","."
"","990
005","1","",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".",".","."
"","990
020","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","2","",".",".",".",".",".","",".",".","50.0",".",".",".","50.0",".",".",".","."
"","999
012","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","999
016","1","",".",".",".",".",".","",".",".",".",".",".",".",".","100.0",".",".","."
"","999
075","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","3","4.000","33.3",".",".",".",".","",".",".",".",".",".",".",".","66.7",".",".","."
