"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"762
PHYSIOL","","Grades","GPA","","","","","","","","","","","","","","","",""
"Physiology","Course Total","453","2.808","21.0","5.5","33.1","2.9","23.4","10.6","2.4",".",".",".",".",".","0.4",".","0.7","."
"Cellular&Molecular Neurosci","610
001","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
018","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
043","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
048","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
063","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
069","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
072","19","3.975","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Work","Course Total","25","3.986","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Devlpmt-Biomed Grad Stdts","700
001","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sensory Mechanisms-Audition","735
001","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
006","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
009","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
018","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
024","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
036","4","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
042","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
060","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
066","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
081","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
084","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
