"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"512
JOURN","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"699
038","","14","3.159","","14.3","28.6","","35.7","21.4","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"699
092","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"699
093","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"699
094","","13","3.382","","38.5","15.4","","30.8",".","","7.7","",".","",".",".",".",".",".",".","","7.7",".",".","."
"699
095","","3","4.000","","33.3",".","",".",".","",".","",".","",".",".",".",".",".",".","66.7","",".",".","."
"699
675","","3","3.500","","33.3","33.3","","33.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Directed Study
Course Total","","42","3.420","","38.1","19.0","","23.8","7.1","","2.4","",".","",".",".",".",".",".",".","","9.5",".",".","."
"Concep&Design-Mass Com Rsch
806
001","","2","3.750","","50.0","50.0","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Mass Communicatn&Individual
849
001","","14","3.750","","50.0","28.6","","7.1",".","",".","",".","",".",".",".",".",".",".","14.3","",".",".","."
"Sci & Envir Communication
860
001","","13","3.808","","69.2","23.1","","7.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Colloquium:Mass Communicatn
901
001","","20","","",".",".","",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Smr-Mass Comm&Soc Institutn
970
001","","10","4.000","","90.0",".","",".",".","",".","",".","",".",".",".",".",".",".","10.0","",".",".","."
"990
003","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
005","","2","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
013","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
014","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
024","","7","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
033","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
035","","3","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
036","","3","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"990
038","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
048","","3","","",".",".","",".",".","",".","",".","",".","66.7","33.3",".",".",".","",".",".",".","."
"990
050","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"990
093","","3","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Thesis
Course Total","","27","","",".",".","",".",".","",".","",".","",".","70.4","3.7",".",".","25.9","",".",".",".","."
"999
003","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"999
024","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"999
093","","3","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Independent Research Prob
Course Total","","5","4.000","100.0","",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
