"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"232
ACCT I S","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Accounting Systems","Course Total","73","3.418","16.4","57.5","20.5","4.1","1.4",".",".",".",".",".",".",".","",".",".",".","."
"","406
001","17","2.941","11.8","5.9","52.9","17.6","11.8",".",".",".",".",".",".",".","",".",".",".","."
"","406
002","12","3.208","33.3","16.7","25.0","8.3","8.3","8.3",".",".",".",".",".",".","",".",".",".","."
"Advanced Financial Reporting","Course Total","29","3.052","20.7","10.3","41.4","13.8","10.3","3.4",".",".",".",".",".",".","",".",".",".","."
"","603
001","50","3.293","28.0","10.0","52.0",".",".",".","2.0","8.0",".",".",".",".","",".",".",".","."
"","603
002","36","3.671","55.6","19.4","22.2",".",".",".",".","2.8",".",".",".",".","",".",".",".","."
"","603
030","37","3.500","32.4","37.8","27.0","2.7",".",".",".",".",".",".",".",".","",".",".",".","."
"Financial Statement Analysis","Course Total","123","3.470","37.4","21.1","35.8","0.8",".",".","0.8","4.1",".",".",".",".","",".",".",".","."
"","620
001","24","3.396","33.3","33.3","20.8","4.2","8.3",".",".",".",".",".",".",".","",".",".",".","."
"","620
002","32","3.125","15.6","21.9","40.6","15.6","6.3",".",".",".",".",".",".",".","",".",".",".","."
"Fundamentals of Taxation","Course Total","56","3.241","23.2","26.8","32.1","10.7","7.1",".",".",".",".",".",".",".","",".",".",".","."
"","621
001","35","3.271","31.4","8.6","51.4",".","8.6",".",".",".",".",".",".",".","",".",".",".","."
"","621
002","34","3.250","29.4","2.9","61.8",".","2.9","2.9",".",".",".",".",".",".","",".",".",".","."
"Corporate & Advanced Taxation","Course Total","69","3.261","30.4","5.8","56.5",".","5.8","1.4",".",".",".",".",".",".","",".",".",".","."
"","630
001","30","3.283","30.0","10.0","50.0","6.7","3.3",".",".",".",".",".",".",".","",".",".",".","."
"","630
002","40","3.350","35.0","10.0","45.0","10.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","630
003","33","3.394","36.4","15.2","39.4","9.1",".",".",".",".",".",".",".",".","",".",".",".","."
"Audit and Assurance Services","Course Total","103","3.345","34.0","11.7","44.7","8.7","1.0",".",".",".",".",".",".",".","",".",".",".","."
"","631
001","39","3.436","41.0","10.3","43.6","5.1",".",".",".",".",".",".",".",".","",".",".",".","."
"","631
002","22","3.682","59.1","18.2","22.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","61","3.525","47.5","13.1","36.1","3.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","700
001","52","3.225","3.8","44.2","42.3","7.7",".",".",".","1.9",".",".",".",".","",".",".",".","."
"","700
002","48","3.438","22.9","45.8","27.1","4.2",".",".",".",".",".",".",".",".","",".",".",".","."
