"Fall 2002-2003","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"ENVIRONMENTAL TOX CENTER","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"362
ENV TOX","","Grades
GPA","","","","","","","","","","","","","","","","","","","",""
"Colloquium in Env Tox","606
001","49
3.538","49.0","8.2","","14.3","2.0","","4.1","","4.1","",".","6.1",".",".",".",".",".",".","12.2","."
"Toxicology I","625
001 301","10
3.400","30.0","30.0","","30.0","10.0","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
002","7
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
009","1",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
091","1
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","9
4.000","88.9",".","",".",".","",".","",".","",".",".",".",".",".",".","11.1",".",".","."
"Seminar","800
001","35
4.000","8.6",".","",".",".","",".","",".","",".","91.4",".",".",".",".",".",".",".","."
"","990
002","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
009","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
010","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
020","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
024","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
025","2",".",".","",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","990
026","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
028","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
030","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
032","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
036","1",".",".","",".",".","",".","",".","",".",".","100.0",".",".",".",".",".",".","."
"","990
037","3",".",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".","100.0","."
"","990
038","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
050","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
054","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
060","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
063","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
069","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
073","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
083","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
088","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
090","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
092","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Research","Course Total","29",".",".","",".",".","",".","",".","",".","10.3","3.4",".",".","75.9",".",".","10.3","."
