"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"778
POLI SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshman Topics Seminar","100
002","18","3.563","44.4","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"","103
001 314","12","3.125","16.7","16.7","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 310","19","3.306","5.3","52.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","103
001 305","23","3.043","4.3","30.4","56.5","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","103
001 313","19","2.816","10.5","21.1","31.6","15.8","10.5","5.3","5.3",".",".",".",".",".",".",".",".","."
"","103
001 306","17","2.875",".","17.6","41.2","29.4","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","103
001 312","26","2.962","11.5","11.5","46.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".","."
"","103
001 307","19","3.079","10.5","31.6","36.8","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","103
001 304","18","3.000","16.7","11.1","44.4","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"","103
001 311","20","3.026","5.0","35.0","40.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","5.0"
"","103
001 308","22","2.524","4.5","18.2","18.2","27.3","13.6","4.5","9.1",".",".",".",".",".","4.5",".",".","."
"","103
001 302","21","2.800","9.5","9.5","38.1","9.5","28.6",".",".",".",".",".",".",".",".",".",".","4.8"
"","103
001 309","21","3.025","4.8","38.1","23.8","14.3","9.5","4.8",".",".",".",".",".",".","4.8",".",".","."
"","103
001 303","23","2.881",".","21.7","34.8","26.1","4.3","4.3",".",".",".",".",".",".","8.7",".",".","."
"","103
001 315","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001 316","9","3.000","11.1",".","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","Course Total","275","2.957","7.6","23.3","38.5","15.6","8.4","1.8","1.8",".",".",".",".",".","1.8",".",".","1.1"
"","104
001 305","23","2.935","13.0","17.4","30.4","21.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"","104
001 304","20","2.289",".","10.0","25.0","15.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".","5.0"
"","104
001 303","24","2.979","12.5","20.8","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","104
001 302","22","2.773","18.2","13.6","18.2","22.7","18.2","4.5","4.5",".",".",".",".",".",".",".",".","."
"","104
001 314","18","2.265",".","5.6","22.2","11.1","33.3","16.7","5.6",".",".",".",".",".",".",".",".","5.6"
"","104
001 315","17","2.853","5.9","29.4","17.6","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","104
001 313","21","2.750","9.5","9.5","28.6","19.0","19.0","9.5",".",".",".",".",".",".","4.8",".",".","."
"","104
001 318","7","2.857","14.3",".","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","104
001 317","23","2.682","17.4","8.7","21.7","8.7","26.1","8.7","4.3",".",".",".",".",".",".",".",".","4.3"
"","104
001 319","8","3.188","25.0","25.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","104
001 320","11","3.227","27.3","27.3","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","104
001 308","24","2.750","4.2","33.3","16.7","16.7","12.5","12.5","4.2",".",".",".",".",".",".",".",".","."
"","104
001 307","25","2.960","8.0","28.0","24.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"","104
001 316","22","2.976","13.6","13.6","36.4","18.2","13.6",".",".",".",".",".",".",".",".",".",".","4.5"
"","104
001 306","22","2.864","4.5","31.8","22.7","13.6","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"","104
001 312","20","2.667","15.0","5.0","10.0","25.0","35.0",".",".",".",".",".",".",".","5.0",".",".","5.0"
"","104
001 310","19","2.816","5.3","15.8","42.1","10.5","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","104
001 311","17","2.625","5.9","11.8","17.6","23.5","23.5","11.8",".",".",".",".",".",".",".",".",".","5.9"
"","104
001 309","22","2.800","18.2","13.6","22.7","4.5","22.7","4.5","4.5",".",".",".",".",".",".","4.5",".","4.5"
"","Section Total","365","2.790","10.7","17.3","24.7","17.5","19.5","5.8","1.9",".",".",".",".",".","0.5","0.3",".","1.9"
