"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"335","001 305 6","","3","2.667","33.3",".",".",".","66.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 307 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","1","2.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 307 6","","10","3.200","30.0","20.0","30.0",".","20.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 307 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 307 6","","17","2.971","29.4","5.9","29.4",".","29.4","5.9",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 307 6","","4","2.000",".",".",".",".","75.0","25.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 307 6","","9","3.500","44.4",".","44.4",".",".",".",".","",".","",".",".","",".","",".","11.1",".",".","."
"335","001 308 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 307 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","4","2.500",".",".","50.0",".",".","50.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","2","3.500","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","2","2.500",".",".","50.0",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","3","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","2.500",".",".",".","100.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","3","3.333","33.3",".","66.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","5","2.500",".","20.0","20.0",".","20.0","40.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 310 6","","8","2.143",".",".","25.0","25.0","25.0",".","12.5","",".","",".",".","",".","",".",".",".","12.5","."
"335","001 310 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","1","2.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","1","2.000",".",".",".",".","100.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","2","2.750",".","50.0",".",".","50.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"335","001 309 6","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
