"ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"640
ATM OCN","","Grades","GPA","","","","","","","","","","","","","","","",""
"","100
001","244","3.195","32.4","22.1","23.4","8.2","6.6","2.5","3.7","0.4",".",".",".",".","0.4",".","0.4","."
"","100
002","222","2.667","14.4","13.1","36.0","5.4","13.1","5.4","10.8",".",".",".",".",".",".",".",".","1.8"
"Weather and Climate","Course Total","466","2.944","23.8","17.8","29.4","6.9","9.7","3.9","7.1","0.2",".",".",".",".","0.2",".","0.2","0.9"
"","101
001 305","24","3.229","29.2","25.0","20.8","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","101
001 302","22","3.523","50.0","22.7","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
001 306","25","3.420","28.0","36.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
001 304","27","3.315","22.2","37.0","29.6","3.7",".","7.4",".",".",".",".",".",".",".",".",".","."
"","101
001 301","23","3.022","17.4","21.7","21.7","26.1","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"","101
001 303","19","3.605","68.4","15.8","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Weather and Climate","Course Total","140","3.343","34.3","27.1","21.4","10.0","2.1","4.3","0.7",".",".",".",".",".",".",".",".","."
"","105
001 302","17","2.971","17.6","23.5","23.5","5.9","29.4",".",".",".",".",".",".",".",".",".",".","."
"","105
001 301","14","3.000","7.1","14.3","64.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","105
001 303","14","3.357","21.4","42.9","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","Course Total","45","3.100","15.6","26.7","37.8","2.2","17.8",".",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121
001","96","2.913","29.2","7.3","13.5","13.5","18.8","12.5","1.0","3.1",".",".",".",".","1.0",".",".","."
"","152
001","4","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
002","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
003","5","4.000","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","60.0","."
"Weather for Pilots","Course Total","12","3.611","41.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","25.0","."
"Global Chg: Atmospheric Iss","171
002","26","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310
001","20","2.575","10.0","15.0","20.0","10.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330
001 301","17","2.794","17.6","17.6","23.5","11.8","23.5",".","5.9",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425
001","11","3.600","36.4","36.4","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Radar Meteorology","444
001 301","26","3.080","23.1","15.4","38.5","7.7","7.7",".","3.8",".",".",".",".",".","3.8",".",".","."
"Syn Lab I:Frontal Cyclone","452
001 301","23","3.167","13.0","26.1","34.8","13.0",".","4.3",".",".",".",".",".",".","8.7",".",".","."
"","509
001","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","509
002","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachr Wkshp-Earth Sys Sci-","Course Total","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biophysics","532
001","5","3.750","40.0","40.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Geophys Fluid Dynamics I","610
001","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630
001","13","3.462","46.2","15.4","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Physical Oceanography","660
001","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
029","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698
029","4","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","698
031","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","5","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
016","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
030","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamics-Ocean Circulation","761
001","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Meteorology","900
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","907
001","16","",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".",".",".","."
"","907
002","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Smr:Ph.D. Rsch Presentatns","Course Total","30","",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".",".",".","."
"Seminar-Cloud Physics","931
001","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
