"ECONOMICS","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"296
ECON","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"","699
001","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
004","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
005","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
006","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.977","87.5","12.5",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","703
001 302","","20","3.275","20.0","30.0","35.0","15.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"","703
001 301","","17","3.425","35.3","17.6","41.2","5.9",".","",".","",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics I","Course Total","","37","3.345","27.0","24.3","37.8","10.8",".","",".","",".",".",".",".",".",".",".",".",".","."
"","709
001 301","","18","3.324","27.8","27.8","22.2","11.1","5.6","",".","",".","5.6",".",".",".",".",".",".",".","."
"","709
001 302","","21","3.336","23.8","42.9","19.0","4.8","9.5","",".","",".",".",".",".",".",".",".",".",".","."
"","709
001 304","","14","3.643","42.9","42.9","14.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","Course Total","","53","3.414","30.2","37.7","18.9","5.7","5.7","",".","",".","1.9",".",".",".",".",".",".",".","."
"","711
001 304","","12","3.318","25.0","8.3","58.3",".",".","",".","",".",".",".",".",".",".","8.3",".",".","."
"","711
001 301","","13","3.192","23.1","7.7","53.8","15.4",".","",".","",".",".",".",".",".",".",".",".",".","."
"","711
001 303","","15","3.067","20.0","13.3","40.0","13.3","13.3","",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","","40","3.179","22.5","10.0","50.0","10.0","5.0","",".","",".",".",".",".",".",".","2.5",".",".","."
"","711
002 303","","3","3.333","33.3",".","66.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","711
002 304","","7","3.500","28.6","42.9","28.6",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","711
002 301","","6","3.000","16.7","16.7","33.3","16.7","16.7","",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","","16","3.281","25.0","25.0","37.5","6.3","6.3","",".","",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","Course Total","","56","3.209","23.2","14.3","46.4","8.9","5.4","",".","",".",".",".",".",".",".","1.8",".",".","."
"","712
001 302","","7","3.429","42.9","14.3","28.6","14.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"","712
001 301","","9","2.722",".",".","55.6","33.3","11.1","",".","",".",".",".",".",".",".",".",".",".","."
"","712
001 303","","3","3.500","33.3","33.3","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","","19","3.105","21.1","10.5","42.1","21.1","5.3","",".","",".",".",".",".",".",".",".",".",".","."
