"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"448
HISTORY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","244
001 303","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001 305","11","3.900","81.8",".","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","244
001 302","11","3.364","18.2","54.5","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","Course Total","40","3.603","57.5","25.0","7.5","2.5",".","2.5","2.5","2.5",".",".",".",".",".",".",".","."
"","277
001 308","7","3.214","42.9","14.3","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","277
001 302","9","3.063","22.2",".","44.4","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"","277
001 306","4","3.000","25.0",".","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","277
001 307","6","2.000","16.7",".",".",".","33.3",".","16.7","33.3",".",".",".",".",".",".",".","."
"","277
001 305","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","277
001 304","8","2.750","12.5","12.5","25.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"","277
001 303","6","2.500","16.7",".","16.7",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"","277
001 309","7","2.714","14.3","14.3","14.3","14.3","42.9",".",".",".",".",".",".",".",".",".",".","."
"","277
001 301","6","3.200","16.7","16.7","33.3","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"","277
001 310","6","2.500",".","33.3",".",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","Course Total","61","2.816","18.0","11.5","23.0","6.6","32.8",".","1.6","6.6",".",".",".",".",".",".",".","."
"Honors Smr-Studies in Hist","283
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001 301","17","3.294","29.4","47.1","11.8",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","303
001 304","20","3.550","35.0","45.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001 303","17","3.412","23.5","41.2","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001 302","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
