"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","","",""
"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"418
G L E","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","2","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Intro-Aerial Photo Systems","301
001","","5","3.100","20.0","20.0","40.0",".","20.0","",".","",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","","7","2.857","14.3","28.6","14.3",".","28.6","","14.3","",".",".",".",".",".",".",".",".",".","."
"","303
001 301","","3","3.167",".","33.3","66.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","303
001 302","","1","2.000",".",".",".",".","100.0","",".","",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","Course Total","","4","2.875",".","25.0","50.0",".","25.0","",".","",".",".",".",".",".",".",".",".",".","."
"","330
001 303","","2","2.500",".",".","50.0",".","50.0","",".","",".",".",".",".",".",".",".",".",".","."
"","330
001 302","","3","3.500","33.3","33.3","33.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","330
001 301","","1","2.000",".",".",".",".","100.0","",".","",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","Course Total","","6","2.917","16.7","16.7","33.3",".","33.3","",".","",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474
001","","9","3.444","44.4","22.2","22.2",".","11.1","",".","",".",".",".",".",".",".",".",".",".","."
"Intro to Geol Engr Design","478
001","","9","3.667","33.3","66.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Foundations","532
001","","8","3.625","37.5","50.0","12.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Waste Geotechnics","533
001","","5","3.500","40.0",".","40.0",".",".","",".","",".","20.0",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594
001","","3","3.667","33.3","66.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595
001","","5","3.800","80.0",".","20.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","627
001 303","","5","3.300","40.0","20.0","20.0",".","20.0","",".","",".",".",".",".",".",".",".",".",".","."
"","627
001 302","","6","3.500","50.0","16.7","16.7","16.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","Course Total","","11","3.409","45.5","18.2","18.2","9.1","9.1","",".","",".",".",".",".",".",".",".",".",".","."
"","790
007","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","790
038","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","790
057","","2","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","790
068","","3","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","7","",".",".",".",".",".","",".","",".","57.1",".",".",".","42.9",".",".",".","."
"Spec Topics-Geological Engr","801
001","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","890
004","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","890
029","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","890
057","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Pre-Dissertator's Research","Course Total","","3","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Seminar","900
001","","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","990
029","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
057","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
068","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","",".",".",".",".",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"Independent Work","999
029","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
