"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"272
CURRIC","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Practicum-Teaching Japanese","208
001","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Practcm-Secondry Sch French","246
001","","2","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Practcm-Secondry Sch German","247
001","","2","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Practm:Secondry Sch Spanish","256
001","","2","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Practicum-Secondary Sci Ed","290
001","","15","",".",".",".",".",".","",".","",".",".",".","93.3",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","11","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","305
001","","27","3.963","96.3",".","3.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","305
002","","24","3.938","87.5","12.5",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","305
003","","20","3.825","85.0","5.0",".","10.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","71","3.915","90.1","5.6","1.4","2.8",".","",".","",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Japanese","308
001","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","313
001","","20","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","313
002","","21","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","313
003","","19","4.000","94.7",".",".",".",".","",".","",".",".",".",".",".",".","5.3",".",".","."
"Lang & Lit-Secondary Curric","Course Total","","60","4.000","98.3",".",".",".",".","",".","",".",".",".",".",".",".","1.7",".",".","."
"","322
001","","26","3.885","80.8","15.4","3.8",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","322
002","","21","3.800","57.1","38.1",".",".",".","",".","",".",".",".",".",".",".","4.8",".",".","."
"","322
003","","20","3.184","20.0","20.0","30.0","25.0",".","",".","",".",".",".",".",".",".","5.0",".",".","."
"Teachng Art","Course Total","","67","3.654","55.2","23.9","10.4","7.5",".","",".","",".",".",".",".",".",".","3.0",".",".","."
"Tchg Choral Music-Sec Schl","332
001 301","","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Tchg Gen Music-Elem School","333
001 301","","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Tchg Instrum Music-Elem","335
001 301","","18","3.861","77.8","16.7","5.6",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","337
001","","19","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","337
002","","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","337
003","","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","32","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","354
001","","15","3.833","80.0","6.7","13.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","354
002","","25","3.920","84.0","16.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Tchg Music:Presch-Middl Sch","Course Total","","40","3.888","82.5","12.5","5.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","358
001","","15","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","13","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","9","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","362
002","","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","362
003","","9","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","362
004","","9","3.944","88.9","11.1",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","362
005","","7","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","362
006","","9","3.944","88.9","11.1",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","","48","3.979","95.8","4.2",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","364
001","","24","3.854","87.5","4.2","4.2",".","4.2","",".","",".",".",".",".",".",".",".",".",".","."
"","364
002","","25","3.840","76.0","16.0","8.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","364
003","","26","3.750","53.8","30.8","7.7",".",".","",".","",".",".",".",".",".",".","7.7",".",".","."
"Introduction to Education","Course Total","","75","3.815","72.0","17.3","6.7",".","1.3","",".","",".",".",".",".",".",".","2.7",".",".","."
"","367
001 301","","25","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","367
002 301","","24","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","367
003 301","","22","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"","367
004 301","","4","",".",".",".",".",".","",".","",".",".",".","100.0",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 83 of 441",""
