"L&S","","","","","","","","","","","","","","","","","","","","",""
"CLASSICS","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"244
CLASSICS","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Art&Archaeology-Ancient Greece","300
001","","37","3.014","18.9","27.0","24.3","2.7","21.6","",".","2.7","2.7",".",".",".",".",".",".",".","."
"","320
001 305","","15","3.233","26.7","46.7","13.3",".","6.7","",".","6.7",".",".",".",".",".",".",".",".","."
"","320
001 306","","12","3.455","16.7","58.3","8.3","8.3",".","",".",".",".",".",".",".",".",".","8.3",".","."
"","320
001 301","","15","3.571","33.3","40.0","20.0",".",".","",".",".",".",".",".",".",".","6.7",".",".","."
"","320
001 302","","13","3.654","46.2","38.5","15.4",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","320
001 304","","15","3.467","13.3","66.7","20.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","320
001 303","","12","3.708","58.3","25.0","16.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Civilizat of Ancient Greece","Course Total","","82","3.506","31.7","46.3","15.9","1.2","1.2","",".","1.2",".",".",".",".",".","1.2","1.2",".","."
"Topics in Classical Culture","373
001","","47","3.500","27.7","46.8","23.4","2.1",".","",".",".",".",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","","2","2.500",".",".",".","50.0",".","",".",".",".",".",".",".",".","50.0",".",".","."
"Greek & Roman Med & Phcy","561
001","","24","3.043","16.7","8.3","54.2",".","16.7","",".",".","4.2",".",".",".",".",".",".",".","."
"The Ancient Mediterranean City","602
001","","8","3.813","75.0","12.5","12.5",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
002","","3","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","699
003","","2","2.000","50.0",".",".",".",".","",".","50.0",".",".",".",".",".",".",".",".","."
"","699
020","","2","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Directed Reading","Course Total","","7","3.091","57.1",".","28.6",".",".","",".","14.3",".",".",".",".",".",".",".",".","."
"Art&Archaeolog-Ancient Greece","700
001","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Ancient History","801
001","","8","3.688","50.0","37.5","12.5",".",".","",".",".",".",".",".",".",".",".",".",".","."
"244
CLASSICS","Dept. Total","","216","3.377","30.1","35.2","23.1","1.9","6.0","",".","1.4","0.9",".",".",".",".","0.9","0.5",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","11","3.650","45.5","27.3","18.2",".",".","",".",".",".",".",".",".",".","9.1",".",".","."
"Sophomore","","","41","3.366","26.8","48.8","12.2","4.9","4.9","",".","2.4",".",".",".",".",".",".",".",".","."
"Junior","","","61","3.390","23.0","37.7","31.1","1.6","3.3","",".",".","1.6",".",".",".",".","1.6",".",".","."
"Senior","","","85","3.273","25.9","34.1","23.5","1.2","10.6","",".","2.4","1.2",".",".",".",".",".","1.2",".","."
"Undergraduates","","","198","3.349","26.3","37.9","23.2","2.0","6.6","",".","1.5","1.0",".",".",".",".","1.0","0.5",".","."
"Special","","","1","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","","17","3.767","76.5","5.9","17.6",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","216","3.377","30.1","35.2","23.1","1.9","6.0","",".","1.4","0.9",".",".",".",".","0.9","0.5",".","."
