"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"551
LITTRANS","","Grades","GPA","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201
001","72","3.428","34.7","31.9","18.1","8.3","1.4",".","1.4","2.8",".",".",".",".","1.4",".",".","."
"","203
001 303","18","3.444","50.0","16.7","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
001 302","15","3.067","46.7","6.7","26.7","6.7",".",".","13.3",".",".",".",".",".",".",".",".","."
"","203
001 301","13","3.833","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","203
001 304","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","Course Total","64","3.492","54.7","15.6","17.2","6.3","1.6",".","3.1",".",".",".",".",".","1.6",".",".","."
"The Writings of Vaclav Havel","208
001","21","3.667","47.6","38.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:Late19&20 C","216
001","31","3.379","32.3","22.6","25.8","9.7","3.2",".",".",".",".",".",".",".",".","6.5",".","."
"Tolstoy in Translation","224
001","15","3.808","60.0","20.0","6.7",".",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"The Jew in Russ Lit in Tran","225
001","12","3.708","50.0","25.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226
001","18","3.382","22.2","27.8","44.4",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","227
001 301","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
001 303","3","3.500","66.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","227
001 302","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","227
001 305","4","3.500","75.0",".",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","227
001 304","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","Course Total","18","3.694","66.7","22.2",".","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","233
001 301","12","3.915","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","233
001","20","3.548","45.0","20.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","Course Total","32","3.706","59.4","18.8","21.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"The World of Sagas","235
001","22","3.786","72.7","13.6","4.5",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Biblical Poetry in Translation","237
001","7","2.571","14.3","14.3","28.6","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253
001","47","3.098","23.4","29.8","21.3","6.4","12.8",".","4.3",".",".",".",".",".","2.1",".",".","."
"Lit Tran: Modern Italy","254
001","72","3.901","81.9","13.9","2.8",".",".",".",".",".",".",".",".",".","1.4",".",".","."
"Chinese Lit in Translation","261
001","43","2.976","25.6","11.6","25.6","11.6","18.6","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263
001","52","3.373","23.1","36.5","28.8","9.6",".",".",".",".",".",".",".",".","1.9",".",".","."
"Yidd Lit/Trans-E Eur,1850-1930","269
001","12","3.292","25.0","8.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001 304","17","3.007","11.8","11.8","52.9","11.8",".","11.8",".",".",".",".",".",".",".",".",".","."
"","271
001 303","16","3.250","6.3","37.5","56.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001 301","19","3.289","26.3","26.3","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","213","3.129","7.5","39.0","29.1","17.4","3.3","2.3",".","0.5",".",".",".",".","0.9",".",".","."
"","271
001 302","20","3.450","25.0","45.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","Course Total","285","3.170","10.2","36.8","31.6","15.4","2.5","2.5",".","0.4",".",".",".",".","0.7",".",".","."
"Modern Indian Lit in Trans","272
001","25","3.540","52.0","16.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","275
001 304","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001 305","8","3.571","12.5","75.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","275
001 303","5","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001 302","7","3.556","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001 301","9","3.186",".","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","61","3.372","13.1","54.1","26.2","3.3","1.6",".",".",".",".",".",".",".","1.6",".",".","."
"","Section Total","99","3.412","14.1","57.6","21.2","4.0","1.0",".",".",".",".",".",".",".","2.0",".",".","."
"","275
002 302","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002 305","10","3.444",".","80.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","275
002 304","10","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002 303","17","3.142","5.9","47.1","29.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","275
002 301","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 274 of 441",""
