"AMN","","","","","","","","","","","","","","","","","","","","",""
"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"644
MIL SCI","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","101
001","","14","3.571","50.0","35.7",".","7.1","7.1",".","",".",".",".",".",".",".",".",".",".","."
"","101
002","","15","3.433","33.3","26.7","33.3","6.7",".",".","",".",".",".",".",".",".",".",".",".","."
"","101
003","","20","3.125","35.0","15.0","15.0","10.0","25.0",".","",".",".",".",".",".",".",".",".",".","."
"Intro to the Army and ROTC","Course Total","","49","3.347","38.8","24.5","16.3","8.2","12.2",".","",".",".",".",".",".",".",".",".",".","."
"","201
001","","9","2.389",".",".","22.2","33.3","11.1","33.3","",".",".",".",".",".",".",".",".",".","."
"","201
002","","7","3.214","28.6","14.3","42.9",".","14.3",".","",".",".",".",".",".",".",".",".",".","."
"","201
003","","9","3.111","22.2","22.2","33.3",".","11.1","11.1","",".",".",".",".",".",".",".",".",".","."
"Fundamntls-Military Map Rdg","Course Total","","25","2.880","16.0","12.0","32.0","12.0","12.0","16.0","",".",".",".",".",".",".",".",".",".","."
"","331
001 303","","14","3.607","35.7","50.0","14.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","331
002 303","","2","4.000","50.0",".",".",".",".",".","",".",".",".",".",".",".","50.0",".",".","."
"Mil Leadership & Mgt Theory","Course Total","","16","3.633","37.5","43.8","12.5",".",".",".","",".",".",".",".",".",".","6.3",".",".","."
"Mil Comm Skills&Admin Oper","441
001 304","","10","3.650","50.0","30.0","20.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"644
MIL SCI","Dept. Total","","100","3.289","34.0","25.0","20.0","7.0","9.0","4.0","",".",".",".",".",".",".","1.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","42","3.315","35.7","28.6","14.3","9.5","11.9",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","28","3.054","28.6","14.3","28.6","7.1","10.7","10.7","",".",".",".",".",".",".",".",".",".","."
"Junior","","","19","3.270","21.1","36.8","26.3","5.3","5.3","5.3","",".",".",".",".",".",".",".",".",".","."
"Senior","","","10","3.800","70.0","20.0","10.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","99","3.289","34.3","25.3","20.2","7.1","9.1","4.0","",".",".",".",".",".",".",".",".",".","."
"Special","","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","Dept. Total","","100","3.289","34.0","25.0","20.0","7.0","9.0","4.0","",".",".",".",".",".",".","1.0",".",".","."
