"ENVIR ST - GAYLORD NELSON IN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"360
ENVIR ST","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Resources and People","139
001","","71","2.877","19.7","14.1","15.5","18.3","29.6",".",".","1.4",".",".",".",".","","1.4",".",".","."
"Insects and Human Culture","201
001","","18","3.417","61.1","11.1","11.1","5.6",".","5.6","5.6",".",".",".",".",".","",".",".",".","."
"Soil: Ecosystem & Resource","230
001","","5","3.200","40.0",".","20.0","40.0",".",".",".",".",".",".",".",".","",".",".",".","."
"Intro-Aerial Photo Systems","301
001","","20","3.605","45.0","30.0","15.0","5.0",".",".",".","5.0",".",".",".",".","",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","","6","2.833",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".","",".",".",".","."
"","303
001 302","","4","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","303
001 301","","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Remote Sensng Digtl Image","Course Total","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001 301","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Limnology-Aquatic Resources","315
001","","10","2.800","20.0",".","40.0",".","30.0","10.0",".",".",".",".",".",".","",".",".",".","."
"Soils and Envrnmtl Quality","324
001","","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Analysis of Physical Envr","325
001","","3","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
001 304","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
001 312","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
001 311","","8","2.875","12.5","12.5","37.5","12.5","12.5","12.5",".",".",".",".",".",".","",".",".",".","."
"","339
001 310","","4","2.875","25.0",".","25.0","25.0",".","25.0",".",".",".",".",".",".","",".",".",".","."
"","339
001 309","","5","2.500",".","20.0","20.0",".","40.0","20.0",".",".",".",".",".",".","",".",".",".","."
"","339
001 308","","4","2.875","25.0",".","25.0","25.0",".","25.0",".",".",".",".",".",".","",".",".",".","."
"","339
001 307","","4","3.000","25.0",".","50.0",".",".","25.0",".",".",".",".",".",".","",".",".",".","."
"","339
001 306","","6","2.583",".","50.0",".","33.3",".",".","16.7",".",".",".",".",".","",".",".",".","."
"","339
001 305","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
001 302","","4","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
001 301","","6","3.000","16.7","33.3",".","33.3","16.7",".",".",".",".",".",".",".","",".",".",".","."
"","339
001 303","","5","2.700","20.0","20.0",".",".","60.0",".",".",".",".",".",".",".","",".",".",".","."
"","Section Total","","51","2.922","17.6","21.6","21.6","13.7","13.7","9.8","2.0",".",".",".",".",".","",".",".",".","."
"","339
002 308","","7","2.929","14.3","14.3","42.9",".","14.3","14.3",".",".",".",".",".",".","",".",".",".","."
"","339
002 302","","3","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 310","","5","2.900","20.0","20.0","20.0",".","40.0",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 311","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 312","","7","2.357","14.3","14.3",".","28.6","14.3","14.3","14.3",".",".",".",".",".","",".",".",".","."
"","339
002 307","","5","3.000",".","20.0","60.0","20.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 306","","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 309","","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 303","","3","3.500","66.7",".",".","33.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 301","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","339
002 304","","6","1.667",".",".","33.3",".","16.7","16.7","33.3",".",".",".",".",".","",".",".",".","."
"","339
002 305","","3","2.167",".",".",".","33.3","66.7",".",".",".",".",".",".",".","",".",".",".","."
"","Section Total","","47","2.745","14.9","14.9","29.8","10.6","17.0","6.4","6.4",".",".",".",".",".","",".",".",".","."
"Environmental Conservation","Course Total","","98","2.837","16.3","18.4","25.5","12.2","15.3","8.2","4.1",".",".",".",".",".","",".",".",".","."
"","343
001 305","","8","3.120","12.5","25.0","25.0","25.0",".",".",".","12.5",".",".",".",".","",".",".",".","."
"","343
001 301","","4","3.036","50.0","25.0",".",".",".",".","25.0",".",".",".",".",".","",".",".",".","."
"","343
001 303","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","343
001 304","","20","3.169","20.0","25.0","25.0","5.0","10.0","5.0",".","5.0",".",".",".",".","",".",".","5.0","."
"","343
001 302","","2","2.750",".",".","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".","."
"Environmental Economics","Course Total","","35","3.134","22.9","22.9","22.9","11.4","5.7","2.9","2.9","5.7",".",".",".",".","",".",".","2.9","."
"History of Ecology","353
001","","19","3.211","42.1","5.3","36.8","5.3","5.3",".","5.3",".",".",".",".",".","",".",".",".","."
"","360
001 303","","5","2.800","20.0",".","40.0",".","40.0",".",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 153 of 441",""
