"INTEGRATED LIBERAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"500
ILS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","201
001 302","20","3.375","20.0","40.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001 303","19","3.184",".","52.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","201
001 310","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001 304","20","3.250","30.0","25.0","20.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","201
001 309","19","3.447","47.4","15.8","21.1","10.5",".","5.3",".",".",".",".",".",".",".",".",".","."
"","201
001 305","20","3.500","25.0","30.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","20.0"
"","201
001 306","19","3.278","31.6","26.3","10.5","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3"
"","201
001 311","19","3.167","26.3","10.5","36.8","10.5","10.5",".",".",".",".",".",".",".",".","5.3",".","."
"","201
001 308","19","3.105","15.8","21.1","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"","201
001 301","20","3.050","25.0","15.0","35.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","201
001 312","21","3.158","19.0","14.3","38.1","14.3","4.8",".",".",".",".",".",".",".",".",".",".","9.5"
"W Culture:Sci,Tech,Philos I","Course Total","234","3.267","26.9","24.4","27.8","10.7","4.3","1.3","0.9",".",".",".",".",".",".","0.4",".","3.4"
"","202
001 304","19","3.658","63.2","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","202
001 301","21","3.300","19.0","33.3","33.3","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","202
001 302","19","3.237","26.3","21.1","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","202
001 303","20","3.400","25.0","30.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","Course Total","79","3.397","32.9","25.3","31.6","5.1","3.8",".",".","1.3",".",".",".",".",".",".",".","."
"","203
001 303","16","3.188","31.3","25.0","12.5","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"","203
001 310","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001 309","18","3.611","61.1","16.7","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
001 302","21","3.342","14.3","38.1","33.3","4.8",".",".",".",".",".",".",".",".",".","9.5",".","."
"","203
001 304","18","3.528","44.4","27.8","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001 305","19","3.553","52.6","31.6",".","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","203
001 311","20","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001 306","23","3.523","52.2","21.7","4.3","8.7",".","8.7",".",".",".",".",".",".","4.3",".",".","."
"","203
001 312","22","3.477","27.3","50.0","18.2",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","203
001 307","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001 308","19","3.500","36.8","36.8","21.1",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","203
001 301","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"West Culture:Lit&The Arts I","Course Total","235","3.554","45.1","31.5","14.0","3.8","1.7","2.6",".",".",".",".",".",".","0.4","0.9",".","."
"","205
001 313","16","3.433","25.0","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","205
001 302","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
001 305","19","3.688","47.4","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".",".","15.8"
"","205
001 306","19","3.583","42.1","26.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","205
001 312","20","3.684","50.0","40.0",".",".","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"","205
001 311","20","3.632","45.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"","205
001 309","20","3.763","55.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"","205
001 315","16","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","205
001 303","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
001 304","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
001 310","18","3.417","33.3","50.0","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","Course Total","200","3.668","50.5","31.5","11.0","0.5","0.5","0.5","0.5",".",".",".",".",".",".","0.5",".","4.5"
"W Cul:Pol,Econ&Soc Thght II","206
001","19","3.684","52.6","36.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","207
001 303","12","2.917","8.3","8.3","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".","."
"","207
001 301","15","3.200","26.7","26.7","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","207
001 302","15","3.000","13.3","33.3","20.0","20.0",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"","207
001 304","15","2.833","6.7","13.3","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"History of Westrn Culture I","Course Total","57","2.991","14.0","21.1","29.8","22.8","8.8",".","1.8","1.8",".",".",".",".",".",".",".","."
