"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","N","NR","Other"
"231
GEN BUS","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","300
014 301","2","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","300
014 303","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","22","3.826","63.6","36.4",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","313","3.743","50.5","44.4","3.2",".",".","",".",".",".",".",".",".",".","1.0","0.3",".","0.6"
"","301
001 303","7","2.786","14.3",".","42.9","14.3","28.6","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 302","23","2.636","13.0","13.0","8.7","13.0","47.8","",".",".","4.3",".",".",".",".",".",".",".","."
"","301
001 311","8","2.500","12.5",".","25.0",".","62.5","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 304","8","2.625","12.5",".","37.5",".","50.0","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 305","10","3.111","10.0","30.0","20.0","30.0",".","",".",".","10.0",".",".",".",".",".",".",".","."
"","301
001 306","24","2.708","4.2","16.7","25.0","25.0","29.2","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 307","1","3.000",".",".","100.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 308","9","3.167","22.2","33.3","22.2",".","22.2","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 309","2","3.000","50.0",".",".",".","50.0","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 310","12","3.333","41.7","8.3","33.3","8.3","8.3","",".",".",".",".",".",".",".",".",".",".","."
"","301
001 301","19","3.028","10.5","21.1","36.8","15.8","10.5","",".",".","5.3",".",".",".",".",".",".",".","."
"","Section Total","123","2.863","14.6","14.6","26.0","13.8","28.5","",".",".","2.4",".",".",".",".",".",".",".","."
"","301
002 303","36","3.097","22.2","16.7","36.1","8.3","16.7","",".",".",".",".",".",".",".",".",".",".","."
"","301
002 304","4","2.625",".",".","50.0","25.0","25.0","",".",".",".",".",".",".",".",".",".",".","."
"","301
002 305","31","3.016","22.6","12.9","32.3","9.7","22.6","",".",".",".",".",".",".",".",".",".",".","."
"","301
002 306","16","2.781","12.5","18.8","31.3","12.5","18.8","",".","6.3",".",".",".",".",".",".",".",".","."
"","301
002 302","10","3.200","30.0","10.0","40.0","10.0","10.0","",".",".",".",".",".",".",".",".",".",".","."
"","301
002 307","41","3.122","22.0","24.4","26.8","9.8","17.1","",".",".",".",".",".",".",".",".",".",".","."
"","301
002 301","22","2.976","18.2","13.6","31.8","9.1","22.7","",".",".","4.5",".",".",".",".",".",".",".","."
"","301
002 309","42","3.012","21.4","19.0","28.6","11.9","16.7","",".","2.4",".",".",".",".",".",".",".",".","."
"","301
002 310","14","3.000","28.6",".","42.9",".","28.6","",".",".",".",".",".",".",".",".",".",".","."
"","301
002 311","9","3.056","22.2","11.1","44.4",".","22.2","",".",".",".",".",".",".",".",".",".",".","."
"","301
002 308","5","3.100","20.0","20.0","40.0",".","20.0","",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","230","3.031","21.3","16.1","33.0","9.1","19.1","",".","0.9","0.4",".",".",".",".",".",".",".","."
"Business Law","Course Total","353","2.973","19.0","15.6","30.6","10.8","22.4","",".","0.6","1.1",".",".",".",".",".",".",".","."
"","302
001","25","3.460","32.0","36.0","24.0","8.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","302
002","27","3.519","37.0","37.0","14.8","3.7","3.7","",".",".",".",".",".",".",".","3.7",".",".","."
"Bus Orgs&Negotiable","Course Total","52","3.490","34.6","36.5","19.2","5.8","1.9","",".",".",".",".",".",".",".","1.9",".",".","."
"","303
001 305","14","3.393","28.6","21.4","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","303
001 308","10","3.250","20.0","20.0","50.0","10.0",".","",".",".",".",".",".",".",".",".",".",".","."
"","303
001 303","19","3.263","42.1","5.3","31.6","5.3","15.8","",".",".",".",".",".",".",".",".",".",".","."
"","303
001 306","21","3.262","23.8","19.0","47.6","4.8","4.8","",".",".",".",".",".",".",".",".",".",".","."
"","303
001 304","10","3.250","20.0","10.0","70.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","303
001 302","14","3.107","14.3","7.1","71.4",".","7.1","",".",".",".",".",".",".",".",".",".",".","."
"","303
001 301","27","3.407","29.6","25.9","40.7","3.7",".","",".",".",".",".",".",".",".",".",".",".","."
"","303
001 307","15","3.300","26.7","20.0","46.7",".","6.7","",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","130","3.292","26.9","16.9","48.5","3.1","4.6","",".",".",".",".",".",".",".",".",".",".","."
"","303
002 303","13","3.462","30.8","30.8","38.5",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","303
002 302","13","3.423","38.5","23.1","30.8",".","7.7","",".",".",".",".",".",".",".",".",".",".","."
"","303
002 305","14","3.286","28.6","21.4","35.7","7.1","7.1","",".",".",".",".",".",".",".",".",".",".","."
"","303
002 306","11","3.227","18.2","9.1","72.7",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","303
002 307","21","3.524","52.4","19.0","19.0",".","9.5","",".",".",".",".",".",".",".",".",".",".","."
"","303
002 308","16","3.500","50.0","6.3","37.5","6.3",".","",".",".",".",".",".",".",".",".",".",".","."
"","303
002 301","12","3.250","16.7","33.3","41.7",".","8.3","",".",".",".",".",".",".",".",".",".",".","."
