"","990
017","1","",".",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".","."
"","990
018","4","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"Research or Thesis","Course Total","24","",".",".",".",".",".",".","",".","41.7","4.2",".",".","54.2",".",".",".","."
"Independent Reading","999
004","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"194
RP & SE","Dept. Total","625","3.850","72.2","15.0","4.6","1.8","0.2","0.2","",".","2.7","0.2",".",".","2.6","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","3.783","76.1","8.7","8.7","6.5",".",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","97","3.807","72.2","20.6","2.1","3.1",".","1.0","",".",".",".",".",".",".","1.0",".",".","."
"Junior","","110","3.885","78.2","17.3","2.7",".",".",".","",".",".",".",".",".",".","1.8",".",".","."
"Senior","","175","3.916","82.3","14.3","2.9","0.6",".",".","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","428","3.874","78.3","15.9","3.3","1.6",".","0.2","",".",".",".",".",".",".","0.7",".",".","."
"Special","","18","3.518","55.6","16.7","5.6","16.7","5.6",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","179","3.812","59.2","12.8","7.8","0.6",".",".","",".","9.5","0.6",".",".","8.9","0.6",".",".","."
"","Dept. Total","625","3.850","72.2","15.0","4.6","1.8","0.2","0.2","",".","2.7","0.2",".",".","2.6","0.6",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 80 of 441",""
