"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"612
M E","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Mech Engr Projects I","Course Total","","35","3.474","37.1","25.7","22.9","2.9","5.7","",".","",".",".",".",".",".",".","5.7",".",".","."
"","492
017","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","492
050","","13","3.531","38.5","30.8","7.7",".","7.7","",".","",".",".",".",".",".",".","15.4",".",".","."
"","492
057","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","16","3.600","43.8","31.3","6.3",".","6.3","",".","",".",".",".",".",".",".","12.5",".",".","."
"","510
001 301","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","510
001 302","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","Course Total","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512
001","","8","3.125","25.0","25.0","12.5","25.0","12.5","",".","",".",".",".",".",".",".",".",".",".","."
"Product Design","549
001","","27","3.444","22.2","48.1","25.9","3.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intermediate Thermodynamics","561
001","","32","3.450","25.0","37.5","28.1","3.1",".","",".","",".","6.3",".",".",".",".",".",".",".","."
"Solar Energy Technology","567
001","","14","3.464","50.0","21.4","14.3",".","14.3","",".","",".",".",".",".",".",".",".",".",".","."
"Applied Combustion","569
001","","19","3.526","15.8","73.7","10.5",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570
001","","6","3.250","16.7","33.3","33.3","16.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"","572
001","","19","3.735","42.1","47.4",".",".",".","",".","",".","5.3",".",".",".",".",".","5.3",".","."
"","572
002","","2","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Intermediate Gas Dynamics","Course Total","","21","3.735","38.1","42.9",".",".",".","",".","",".","4.8",".",".",".",".","9.5","4.8",".","."
"","573
001","","12","3.958","91.7","8.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","573
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Computational Fluid Dynamcs","Course Total","","13","3.962","92.3","7.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","601
001","","8","3.813","62.5","37.5",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","601
005","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","601
006","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","601
007","","29","3.411","27.6","24.1","44.8",".",".","",".","",".","3.4",".",".",".",".",".",".",".","."
"","601
009","","20","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","601
011","","14","3.821","64.3","35.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","73","3.639","45.2","35.6","17.8",".",".","",".","",".","1.4",".",".",".",".",".",".",".","."
"","699
013","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
019","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
029","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
036","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
039","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","699
047","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
053","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
059","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","3.875","81.8",".","9.1",".",".","",".","",".",".",".",".",".","9.1",".",".",".","."
"Advanced Composite Material","708
001","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Polymer Processing","717
002","","2","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","746
001","","11","3.636","27.3","72.7",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","746
002","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","746
004","","4","3.250",".","25.0","25.0",".",".","",".","",".","25.0",".",".",".",".","25.0",".",".","."
"","746
005","","2","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","746
006","","5","3.500",".","60.0",".",".",".","",".","",".",".",".",".",".",".","40.0",".",".","."
"Dynamics-Controlled Systems","Course Total","","23","3.579","17.4","60.9","4.3",".",".","",".","",".","4.3",".",".",".",".","13.0",".",".","."
"Matrix Meth-Dsgn&Anal-Mech","751
005","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Heat Transfer I-Conduction","764
001","","6","3.500","33.3","50.0",".","16.7",".","",".","",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","Page 135 of 441",""
