"Fall 2002-2003","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"660
MUSIC","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"University Opera","556
001","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","557
001","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Madrigal Singers","558
001","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Ensemble-Piano","561
002","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Jazz Ensemble","562
002","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","567
001","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","567
003","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","567
004","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","567
005","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","567
006","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","14","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","568
001","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","568
002","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Ensemble-Percussion","Course Total","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Advanced Ensemble-String","569
001","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Univ Symphony Orchestra","570
001","11","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Chamber Orchestra","571
001","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Adv Ensmbl-Classical Guitar","572
001","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","573
001","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","574
001","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","574
002","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","576
001","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","576
002","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Concert Band","Course Total","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Concert Choir","578
001","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Masters Singers","579
001","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"University Chorus","59
001","104","3.981","98.1",".","1.9",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Organ Literature & Design","591
001","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","60
001","120","3.929","90.0","7.5","1.7",".","0.8","",".","",".",".",".",".",".",".",".",".",".","."
"","60
002","111","3.968","93.7","6.3",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"All-Univ String Orchestra","Course Total","231","3.948","91.8","6.9","0.9",".","0.4","",".","",".",".",".",".",".",".",".",".",".","."
"Chamber Orchestra","61
001","29","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","19","3.794","57.9","26.3","5.3",".",".","",".","",".",".",".",".",".",".","10.5",".",".","."
"Univ Symphony Orchestra","62
001","72","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Form and Analysis","623
001","13","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
051","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Adv Probs-Singing Diction","768
001","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Seminar in Piano Literature","791
001","13","3.750","46.2","23.1","7.7",".",".","",".","",".","7.7",".",".",".",".","15.4",".",".","."
"","798
035","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","798
063","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Smr-Instrumental Literature","Course Total","2","4.000","50.0",".",".",".",".","",".","",".",".",".",".",".","50.0",".",".",".","."
"","799
005","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","799
017","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
023","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 293 of 441",""
