"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","",""
"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"742
KINES","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","399
042","","1","2.500",".",".",".","100.0","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Independent Study","Course Total","","6","3.864","83.3",".",".","16.7","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Org&Admin-Ath Training Prgm","400
001","","9","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0","",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0","",".",".","."
"","521
001 301","","11","3.636","27.3","72.7",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","521
001 302","","7","3.643","42.9","42.9","14.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Physical Activity & Health","Course Total","","18","3.639","33.3","61.1","5.6",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Advanced Exercise Psychology","600
001","","8","3.688","50.0","37.5","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Biol Factors-Exercise Perf","614
001 301","","46","3.217","30.4","21.7","26.1","4.3","","15.2","","2.2","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Occupation & Health","885
001","","4","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"OT Leadership (MCH Trainee)","890
001","","3","",".",".",".",".","",".","",".","",".",".",".","100.0",".",".","",".",".",".","."
"Human Biodynamics Seminar","953
001","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Motor Development","960
001","","4","3.875","75.0","25.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","990
003","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
006","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
008","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
009","","3","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
010","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
015","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
024","","1","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","990
025","","2","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Research or Thesis","Course Total","","14","",".",".",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Rsch in Physical Activity","991
001","","6","4.000","83.3",".",".",".","",".","",".","",".",".",".",".",".",".","16.7","",".",".","."
"","999
008","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","999
022","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Independent Reading","Course Total","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
