"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"156
ANTHRO","","Grades","GPA","","","","","","","","","","","","","","","",""
"","100
001 315","9","2.438",".",".","33.3","11.1","22.2","22.2",".",".","11.1",".",".",".",".",".",".","."
"","100
001 301","17","2.529","17.6","5.9","17.6","5.9","35.3","11.8","5.9",".",".",".",".",".",".",".",".","."
"","100
001 302","17","2.529","5.9","17.6","35.3","5.9","23.5",".","11.8",".",".",".",".",".",".",".",".","."
"","100
001 303","17","2.794","17.6","11.8","23.5","5.9","35.3","5.9",".",".",".",".",".",".",".",".",".","."
"","100
001 304","20","2.450","10.0","5.0","20.0","15.0","45.0",".","5.0",".",".",".",".",".",".",".",".","."
"","100
001 306","14","2.654",".","28.6","14.3","7.1","35.7","7.1",".","7.1",".",".",".",".",".",".",".","."
"","100
001 307","19","2.528","5.3","5.3","26.3","10.5","42.1","5.3",".",".",".",".",".",".",".",".",".","5.3"
"","100
001 308","14","2.750",".","14.3","50.0","7.1","28.6",".",".",".",".",".",".",".",".",".",".","."
"","100
001 309","3","1.500",".",".","33.3",".",".",".","33.3",".",".",".",".",".",".","33.3",".","."
"","100
001 310","6","3.100","33.3",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7"
"","100
001 311","4","2.667","25.0",".",".",".","50.0",".",".","25.0",".",".",".",".",".",".",".","."
"","100
001 313","6","2.833","16.7","33.3",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"","100
001 305","14","2.385",".",".","28.6","14.3","50.0",".",".",".",".",".",".",".","7.1",".",".","."
"","100
001 314","3","3.167","33.3","33.3",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","100
001 316","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","165","2.598","9.7","10.3","24.2","8.5","35.2","4.8","3.0","1.2","0.6",".",".",".","0.6","0.6",".","1.2"
"","100
002 309","17","2.844","35.3",".","5.9","5.9","41.2","5.9",".",".",".",".",".",".",".",".",".","5.9"
"","100
002 304","2","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","100
002 305","7","3.143","28.6","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","100
002 306","7","2.857","14.3","28.6","42.9",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","100
002 302","6","2.250","16.7","16.7",".",".","50.0",".","16.7",".",".",".",".",".",".",".",".","."
"","100
002 307","2","3.500",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","50.0"
"","100
002 315","12","2.875","25.0",".","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","100
002 308","8","2.813","25.0","12.5","12.5",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","100
002 314","17","2.647",".","17.6","29.4","17.6","35.3",".",".",".",".",".",".",".",".",".",".","."
"","100
002 310","15","2.667","13.3",".","33.3","13.3","40.0",".",".",".",".",".",".",".",".",".",".","."
"","100
002 316","17","2.882","17.6","5.9","41.2","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","100
002 311","17","3.029","17.6","11.8","47.1","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","100
002 312","19","3.132","31.6","10.5","31.6","5.3","21.1",".",".",".",".",".",".",".",".",".",".","."
"","100
002 313","13","3.038","30.8","7.7","30.8",".","30.8",".",".",".",".",".",".",".",".",".",".","."
"","100
002 303","6","2.833","33.3",".","16.7",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","100
002 301","5","2.600","20.0",".","20.0",".","40.0","20.0",".",".",".",".",".",".",".",".",".","."
"","Section Total","170","2.857","21.2","8.8","27.6","7.6","30.6","1.8","1.2",".",".",".",".",".",".",".",".","1.2"
"General Anthropology","Course Total","335","2.732","15.5","9.6","26.0","8.1","32.8","3.3","2.1","0.6","0.3",".",".",".","0.3","0.3",".","1.2"
"","102
001 301","21","2.600","9.5","4.8","23.8","14.3","42.9",".",".","4.8",".",".",".",".",".",".",".","."
"","102
001 303","22","2.977","22.7","9.1","36.4","4.5","22.7","4.5",".",".",".",".",".",".",".",".",".","."
"","102
001 302","23","3.261","34.8","17.4","26.1","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
