"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"390
FOOD SCI","","Grades","GPA","","","","","","","","","","","","","","","",""
"","120
001","45","3.300","35.6","31.1","8.9","15.6","2.2","4.4","2.2",".",".",".",".",".",".",".",".","."
"","120
002","241","3.152","26.6","22.8","22.8","11.2","7.1","6.6","1.2","1.2","0.4",".",".",".",".",".",".","."
"","120
003","262","3.119","22.9","28.2","20.6","13.4","6.5","3.1","3.1","1.5",".",".",".",".","0.8",".",".","."
"Science of Food","Course Total","548","3.149","25.5","26.1","20.6","12.6","6.4","4.7","2.2","1.3","0.2",".",".",".","0.4",".",".","."
"Prof-Dietetics & Nutrition","200
001","44","",".",".",".",".",".",".",".",".",".","95.5","4.5",".",".",".",".","."
"","235
001 302","31","2.935","16.1","9.7","45.2","3.2","6.5","19.4",".",".",".",".",".",".",".",".",".","."
"","235
001 303","24","2.783","12.5","12.5","25.0","12.5","25.0","8.3",".","4.2",".",".",".",".",".",".",".","."
"","235
001 301","28","2.981","28.6","3.6","28.6","7.1","25.0","3.6",".","3.6",".",".",".",".",".",".",".","."
"Nature of Food","Course Total","83","2.907","19.3","8.4","33.7","7.2","18.1","10.8",".","2.4",".",".",".",".",".",".",".","."
"","236
001","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","39","3.859","76.9","20.5",".","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","299
013","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
014","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
027","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
032","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Independent Study","Course Total","4","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Analysis of Food Products","310
001 301","15","3.167","46.7","6.7","6.7","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","4","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","51","3.294","35.3","21.6","19.6","13.7","9.8",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
032","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Food Service Operations","437
001","49","3.413","16.3","51.0","20.4","6.1",".",".",".","6.1",".",".",".",".",".",".",".","."
"","438
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Serv Operations CUP","439
001 301","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Engr","440
001 301","10","2.900","30.0",".","20.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Food Science Capstone","499
001","12","",".",".",".",".",".",".",".",".",".","41.7","16.7",".",".",".",".","."
"Principles of Food Chem-Lab","512
001 301","12","3.292","33.3","25.0","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","16","3.219","18.8","31.3","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Phase Transitions in Foods","640
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
035","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Food Toxicology","704
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloid Chemistry of Foods","718
001","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
014","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
027","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","3","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar Advanced","900
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","2","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"","990
005","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
