"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"600
MATH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","113
018","26","2.771","11.5","11.5","23.1","15.4","23.1","7.7",".",".",".",".",".",".","3.8","3.8",".","."
"","113
019","17","2.853","17.6","11.8","17.6","29.4","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"","113
021","16","2.500","12.5","12.5","6.3","25.0","25.0","12.5","6.3",".",".",".",".",".",".",".",".","."
"","113
022","16","2.813","6.3","18.8","31.3","18.8","6.3","18.8",".",".",".",".",".",".",".",".",".","."
"","113
023","20","3.350","25.0","45.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","113
024","17","2.765","17.6","5.9","35.3","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".","."
"","113
025","21","3.048","14.3","19.0","33.3","28.6",".","4.8",".",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","391","2.852","18.9","12.3","27.1","17.4","12.3","6.4","4.1",".",".",".",".",".","0.8","0.5","0.3","."
"","114
001 304","23","2.717","8.7","13.0","21.7","26.1","26.1","4.3",".",".",".",".",".",".",".",".",".","."
"","114
001 310","23","2.750","13.0","13.0","39.1","8.7","13.0",".","8.7","4.3",".",".",".",".",".",".",".","."
"","114
001 303","22","2.477","13.6","4.5","13.6","18.2","36.4","9.1","4.5",".",".",".",".",".",".",".",".","."
"","114
001 302","21","2.763","9.5","14.3","19.0","19.0","28.6",".",".",".",".",".",".",".","9.5",".",".","."
"","114
001 301","22","2.682","13.6","13.6","18.2","22.7","13.6","13.6","4.5",".",".",".",".",".",".",".",".","."
"","114
001 311","22","3.068","18.2","22.7","31.8","9.1","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","Section Total","133","2.742","12.8","13.5","24.1","17.3","21.8","5.3","3.0","0.8",".",".",".",".","1.5",".",".","."
"","114
002 330","24","2.682","16.7","4.2","16.7","12.5","25.0","16.7",".",".",".",".",".",".","4.2",".","4.2","."
"","114
002 331","20","2.675","5.0","10.0","40.0","5.0","15.0","25.0",".",".",".",".",".",".",".",".",".","."
"","114
002 323","25","2.860","20.0","12.0","16.0","24.0","16.0","12.0",".",".",".",".",".",".",".",".",".","."
