"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"208
BOTANY","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","152
001 304 6","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
001 305 6","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
001 309 6","","2","3.000",".",".","50.0",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","152
001 303 6","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
001 306 6","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
001 301 6","","3","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152
001 308 6","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","14","3.500","42.9","7.1","42.9",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","160
001 301","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001 306","","3","2.500",".",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".","33.3","."
"","160
001 305","","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","160
001 303","","3","2.833",".","33.3","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","160
001 302","","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heredity","Course Total","","11","2.900","9.1","18.2","36.4",".","27.3",".",".",".",".",".",".",".",".",".","9.1","."
"","240
001 301","","40","2.835","17.5","2.5","40.0","10.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"","240
001","","51","2.770","11.8","3.9","43.1","7.8","23.5","3.9","2.0","3.9",".",".",".",".",".",".",".","."
"Plants and Man","Course Total","","91","2.801","14.3","3.3","41.8","8.8","24.2","4.4","1.1","2.2",".",".",".",".",".",".",".","."
"","260
001","","62","3.065","27.4","9.7","41.9","3.2","12.9","1.6","3.2",".",".",".",".",".",".",".",".","."
"","260
001 301","","4","3.625","75.0",".",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","260
001 302","","17","3.235","41.2","11.8","35.3",".",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"Introductory Ecology","Course Total","","83","3.127","32.5","9.6","38.6","3.6","9.6","2.4","3.6",".",".",".",".",".",".",".",".","."
"","300
001 302","","4","3.125","25.0","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","300
001 301","","12","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Anatomy","Course Total","","16","3.406","31.3","37.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Algae","330
001 301","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001 303","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001 302","","20","3.275","40.0","25.0","20.0",".","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","400
001 301","","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Systematics","Course Total","","46","3.511","47.8","28.3","17.4",".","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"","402
001","","8","3.250","25.0","25.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"","402
002","","7","2.714","28.6",".","14.3",".","57.1",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","Course Total","","15","3.000","26.7","13.3","26.7",".","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"Field Collectns&Identifictn","403
005","","1","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Tropical Plant Diversity","430
001","","21","3.500","28.6","52.4","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455
001 301","","24","3.119","25.0","12.5","25.0","8.3","12.5","4.2",".","4.2",".",".",".",".",".",".","4.2","."
"","460
001 301 6","","3","2.667",".",".","66.7",".",".","33.3",".",".",".",".",".",".",".",".",".","."
"","460
001 302 6","","8","3.000","25.0",".","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","460
001 303 6","","3","2.667","33.3",".",".",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"","460
001 304 6","","3","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","Course Total","","17","2.941","17.6","11.8","41.2",".","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"","466
001 308","","2","2.000",".",".",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".","."
"","466
001 301","","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","466
001 305","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466
001 304","","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","466
001 306","","3","2.333",".",".","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".","."
"","466
001 307","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","466
001 303","","2","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 174 of 441",""
