"Fall 2002-2003","","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"ANTHROPOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","N","NR","Other"
"156
ANTHRO","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Africa: Introductory Survey","","Course Total","","29","2.643","13.8",".","24.1","20.7","34.5","3.4",".","3.4","",".",".","",".","",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","","55","3.037","18.2","20.0","32.7","12.7","10.9","1.8","1.8","1.8","",".",".","",".","",".",".",".",".","."
"","301","001","","7","3.083","14.3",".","57.1","14.3",".",".",".",".","",".",".","",".","",".",".","14.3",".","."
"","301","002","","9","3.222","44.4",".","22.2","22.2",".","11.1",".",".","",".",".","",".","",".",".",".",".","."
"Intro Ling-Descript&Theoret","","Course Total","","16","3.167","31.3",".","37.5","18.8",".","6.3",".",".","",".",".","",".","",".",".","6.3",".","."
"Topics in Archaeology","310","001","","53","3.373","35.8","22.6","20.8","11.3","5.7",".",".","3.8","",".",".","",".","",".",".",".",".","."
"Indians of North America","314","001","","41","3.400","48.8","22.0","12.2","7.3","2.4",".","4.9","2.4","",".",".","",".","",".",".",".",".","."
"Emergence of Human Culture","321","001","","90","2.935","26.7","7.8","28.9","4.4","20.0","1.1","4.4","5.6","",".",".","",".","",".",".","1.1",".","."
"Anthro of Lowland S America","329","001","","22","3.925","77.3","13.6",".",".",".",".",".","4.5","",".",".","",".","",".","4.5",".",".","."
"Arch of Middle America","331","001","","55","3.142","25.5","16.4","25.5","7.3","10.9",".","1.8","7.3","",".",".","",".","",".","1.8","1.8",".","1.8"
"Anthropology of Religion","343","001","","26","3.288","42.3","23.1","7.7",".",".","7.7","7.7",".","",".",".","",".","",".","3.8",".","7.7","."
"Indians-Western Great Lakes","353","001","","22","3.225","31.8","13.6","36.4","4.5","4.5",".","4.5",".","",".",".","",".","",".","4.5",".",".","."
"Archaeol of Eastern N Amer","355","001","","34","3.364","32.4","26.5","23.5","8.8","5.9",".",".","2.9","",".",".","",".","",".",".",".",".","."
"Elementary Quechua","361","001","","4","3.833","50.0","25.0",".",".",".",".",".","25.0","",".",".","",".","",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","","35","3.546","37.1","37.1","20.0","5.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Ceramic Analysis-Archaeolgy","392","001","","10","3.400","50.0","10.0","10.0","30.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"American Indian Folklore","431","001","","7","3.143","42.9","28.6","14.3",".",".",".","14.3",".","",".",".","",".","",".",".",".",".","."
"Primate Behavioral Ecology","458","001","","76","3.105","11.8","38.2","17.1","25.0","3.9","3.9",".",".","",".",".","",".","",".",".",".",".","."
"","490","001","","16","3.833","62.5","31.3",".",".",".",".",".",".","",".",".","",".","",".","6.3",".",".","."
"","490","002","","13","3.708","53.8","23.1","15.4",".",".",".",".",".","",".",".","",".","",".",".","7.7",".","."
"","490","003","","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduate Seminar","","Course Total","","44","3.714","56.8","27.3","6.8","4.5",".",".",".",".","",".",".","",".","",".","2.3","2.3",".","."
"Anthropology and Education","570","001","","28","3.500","32.1","42.9","21.4",".","3.6",".",".",".","",".",".","",".","",".",".",".",".","."
"Cross-Cultrl Spread-Wld Relig","622","001","","10","3.897","80.0",".","10.0",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"Senior Honors Thesis","681","068","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Thesis","692","058","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","698","051","","1","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","699","027","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","066","","2","2.700",".",".","50.0","50.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","069","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","071","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".",".","100.0",".","."
"","699","072","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","074","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","","Course Total","","9","3.619","55.6","11.1","11.1","11.1",".",".",".",".","",".",".","",".","",".",".","11.1",".","."
"Fund Anthropological Theory","900","001","","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Resch Meth&Dsgn-Cult Anthro","909","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5","",".",".","",".","",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","9","3.667","66.7",".","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","990","015","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","021","","7","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","027","","6","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","028","","5","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","034","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","044","","4","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","047","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","050","","3","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","","Page 165 of 441",""
