"FOREST ECOLOGY AND MANAG Section","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"396
FOREST","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Introduction to Forestry","100
001","","103","3.752","75.7","9.7","3.9","3.9","3.9","","1.0","",".","1.0",".",".",".",".","1.0",".",".","."
"Biomatl&Medicinals from Forest","201
001","","38","3.806","63.2","26.3","5.3",".",".","",".","",".",".",".",".",".",".","2.6","2.6",".","."
"","230
001","","17","3.853","70.6","29.4",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","230
002","","14","4.000","92.9",".",".",".",".","",".","",".",".",".",".",".",".","7.1",".",".","."
"Intro-Rsrce Based Recreatn","Course Total","","31","3.917","80.6","16.1",".",".",".","",".","",".",".",".",".",".",".","3.2",".",".","."
"Envir, Nat Rsrce & Communty","248
002","","8","3.063","25.0","12.5","25.0","25.0","12.5","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
014","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","","8","2.375","12.5",".","12.5","50.0","12.5","",".","","12.5",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","","3","2.833","33.3",".",".","33.3",".","","33.3","",".",".",".",".",".",".",".",".",".","."
"","303
001 302","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","303
001 301","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","Course Total","","2","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001 301","","4","3.375","25.0","25.0","50.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Rsrce-Oriented Recreatn Mgt","330
001","","19","3.763","52.6","47.4",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
002","","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","399
006","","1","",".",".",".",".",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","399
008","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","3.500",".","50.0",".",".",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"","402
001","","2","2.750",".","50.0",".",".","50.0","",".","",".",".",".",".",".",".",".",".",".","."
"","402
002","","8","3.563","62.5","12.5","12.5",".","12.5","",".","",".",".",".",".",".",".",".",".",".","."
"Dendrology","Course Total","","10","3.400","50.0","20.0","10.0",".","20.0","",".","",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403
001 301","","6","2.600",".","16.7","16.7","16.7","16.7","","16.7","",".",".",".",".",".",".",".",".","16.7","."
"Tree Physiology","415
001","","14","3.500","35.7","21.4","35.7",".",".","",".","",".",".",".",".",".",".","7.1",".",".","."
"The Vegetation of Wisconsin","455
001 301","","7","3.000","28.6",".","14.3","28.6",".","","14.3","",".",".",".",".",".",".","14.3",".",".","."
"","460
001 301 6","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","460
001 303 6","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"General Ecology","Course Total","","2","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","550
001 301","","14","3.846","71.4","14.3","7.1",".",".","",".","",".",".",".",".",".",".","7.1",".",".","."
"","550
001","","20","3.631","50.0","25.0","25.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","550
001 302","","9","3.829","77.8","11.1","11.1",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","Course Total","","43","3.753","62.8","18.6","16.3",".",".","",".","",".",".",".",".",".",".","2.3",".",".","."
"","571
001 313","","3","3.167",".","33.3","66.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","571
001 312","","1","3.000",".",".","100.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","","4","3.125",".","25.0","75.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","571
002 323","","3","3.333","33.3","33.3",".","33.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"","571
002 322","","6","3.250",".","50.0","50.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","571
002 321","","1","2.500",".",".",".","100.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"","Section Total","","10","3.200","10.0","40.0","30.0","20.0",".","",".","",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","14","3.179","7.1","35.7","42.9","14.3",".","",".","",".",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590
001","","12","3.667","50.0","33.3","16.7",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
014","","1","",".",".",".",".",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","699
006","","3","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
008","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
015","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
017","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
