"BUS","","","","","","","","","","","","","","","","","","","","","","","",""
"INFO SYSTEMS ANALYSIS & DES Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"234
INFO SYS","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"","365
001","","18","3.941","83.3","11.1",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","5.6"
"","365
002","","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","365
003","","8","3.625","50.0","25.0","25.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Contemporary Topics","Course Total","","34","3.879","79.4","11.8","5.9",".","",".","",".","",".",".",".",".",".",".","",".",".",".","2.9"
"","371
001","","9","3.278","11.1","55.6","11.1","22.2","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","371
002","","16","3.533","37.5","25.0","31.3",".","",".","",".","",".","6.3",".",".",".",".","",".",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","","25","3.438","28.0","36.0","24.0","8.0","",".","",".","",".","4.0",".",".",".",".","",".",".",".","."
"","422
001 301","","6","3.750","66.7","16.7","16.7",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","422
002","","10","3.850","80.0","10.0","10.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Computer-Based Data Mgt","Course Total","","16","3.813","75.0","12.5","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","27","3.759","66.7","18.5","14.8",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Computer-Based Data Mgt","722
001 301","","5","3.800","60.0","40.0",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Contemporary Topics","765
001","","12","3.833","66.7","33.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"234
INFO SYS","Dept. Total","","119","3.744","63.0","21.8","11.8","1.7","",".","",".","",".","0.8",".",".",".",".","",".",".",".","0.8"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","","20","3.725","60.0","25.0","15.0",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","","67","3.754","67.2","14.9","11.9","3.0","",".","",".","",".","1.5",".",".",".",".","",".",".",".","1.5"
"Undergraduates","","","89","3.730","64.0","16.9","14.6","2.2","",".","",".","",".","1.1",".",".",".",".","",".",".",".","1.1"
"Graduate","","","30","3.783","60.0","36.7","3.3",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","","119","3.744","63.0","21.8","11.8","1.7","",".","",".","",".","0.8",".",".",".",".","",".",".",".","0.8"
