"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"315
ED PSYCH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","301
001","117","3.261","22.2","31.6","28.2","12.0","4.3","1.7",".",".",".",".",".",".",".",".",".","."
"","301
002 451","59","3.890","86.4","8.5","1.7","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","176","3.472","43.8","23.9","19.3","9.1","2.8","1.1",".",".",".",".",".",".",".",".",".","."
"","320
001","196","3.472","45.4","25.0","14.3","8.2","4.6","1.0","0.5","0.5",".",".",".",".","0.5",".",".","."
"","320
002","179","3.110","16.2","31.8","27.4","10.1","11.2","1.7","1.1",".",".",".",".",".","0.6",".",".","."
"Human Dev-Infancy&Childhood","Course Total","375","3.298","31.5","28.3","20.5","9.1","7.7","1.3","0.8","0.3",".",".",".",".","0.5",".",".","."
"Human Develop-Adolescence","321
001","176","3.586","67.0","4.0","16.5","2.3","8.0","1.7",".","0.6",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","38","3.697","60.5","26.3","7.9","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","17","3.735","76.5","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","699
017","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
035","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
054","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
057","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","4","3.667","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","27","3.850","51.9","22.2",".",".",".",".",".","14.8",".",".",".",".","11.1",".",".","."
"","711
002","25","3.850","56.0","24.0",".",".",".",".",".","4.0",".",".",".",".","16.0",".",".","."
"","711
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","15","3.767","40.0","40.0",".",".",".",".",".","6.7",".",".",".",".","13.3",".",".","."
"","711
006","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","711
007","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","711
008","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","126","3.899","68.3","15.1","1.6",".",".",".",".","4.8",".",".",".",".","10.3",".",".","."
"Theory & Issues-Human Dev","725
001","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","760
001","13","3.625","46.2","23.1","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","760
001 301","16","3.857","68.8","12.5","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","760
001 402","3","3.000",".",".","66.7",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","760
001 302","13","3.583","38.5","30.8","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","Section Total","45","3.663","48.9","20.0","20.0",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","760
002 401","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","Section Total","17","3.844","70.6","17.6","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","62","3.714","54.8","19.4","16.1",".",".",".",".","1.6",".",".",".",".","8.1",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","24","3.870","70.8","25.0",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","840
002","9","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Intervention Techniques","946
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child,Adoles&Fam Psychother","947
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 93 of 441",""
