"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"350
ENGLISH","","Grades","GPA","","","","","","","","","","","","","","","",""
"","169
001 303","14","3.036","21.4","21.4","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"","169
001 302","18","3.265","11.1","38.9","33.3","11.1",".",".",".",".",".",".",".",".","5.6",".",".","."
"","169
001 301","20","3.667","45.0","30.0","15.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","Section Total","139","3.244","20.1","30.9","31.7","7.9","5.0","0.7","0.7",".",".",".",".",".","2.9",".",".","."
"","169
002 309","18","3.167","16.7","22.2","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","169
002 324","14","3.357","35.7","21.4","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","169
002 322","17","2.882","5.9","41.2","17.6","17.6","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","169
002 321","18","3.472","38.9","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","169
002 318","18","2.944",".","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","169
002 317","19","3.237","15.8","31.6","42.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","169
002 316","18","3.222","11.1","38.9","38.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","169
002 315","19","3.211","5.3","47.4","31.6","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","169
002 314","19","3.361","21.1","47.4","5.3","21.1",".",".",".",".",".",".",".",".","5.3",".",".","."
"","169
002 313","17","3.531","29.4","41.2","23.5",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","169
002 310","17","3.235","11.8","41.2","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","169
002 311","19","3.447","15.8","57.9","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","213","3.254","16.9","37.6","29.6","10.8","2.3","1.4","0.5",".",".",".",".",".","0.9",".",".","."
"","169
003","40","3.788","60.0","37.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern American Lit","Course Total","392","3.299","22.4","35.2","27.6","8.7","3.1","1.0","0.5",".",".",".",".",".","1.5",".",".","."
"","173
001 306","15","3.036","20.0","13.3","26.7","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"","173
001 314","14","3.500","57.1","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","173
001 313","17","3.250","17.6","35.3","23.5","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","173
001 312","17","3.188","23.5","17.6","29.4","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","173
001 311","14","3.393","42.9","21.4","21.4",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","173
001 310","19","3.278","10.5","47.4","21.1","15.8",".",".",".","5.3",".",".",".",".",".",".",".","."
"","173
001 309","15","3.714","66.7","6.7","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","173
001 315","18","3.306","27.8","33.3","11.1","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"","173
001 307","17","3.500","17.6","70.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","173
001 316","18","3.094","11.1","44.4","11.1","16.7",".",".","5.6",".",".",".",".",".",".","11.1",".","."
