"FINANCE, INVESTMENT & BANKI","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"233
FINANCE","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","300
001 304","31","3.000","16.1","9.7","41.9","22.6","6.5","3.2","",".",".",".",".",".",".",".",".",".","."
"","300
001 305","5","3.500","40.0","20.0","40.0",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","300
001 306","30","3.138","30.0","6.7","33.3","13.3","13.3",".","",".","3.3",".",".",".",".",".",".",".","."
"","300
001 307","48","3.083","20.8","8.3","43.8","20.8","6.3",".","",".",".",".",".",".",".",".",".",".","."
"","300
001 303","48","3.188","25.0","14.6","43.8","6.3","8.3","2.1","",".",".",".",".",".",".",".",".",".","."
"","300
001 302","45","3.078","22.2","17.8","26.7","20.0","13.3",".","",".",".",".",".",".",".",".",".",".","."
"","300
001 308","21","3.000","19.0","9.5","38.1","19.0","14.3",".","",".",".",".",".",".",".",".",".",".","."
"","300
001 301","24","3.021","8.3","20.8","54.2",".","12.5","4.2","",".",".",".",".",".",".",".",".",".","."
"","Section Total","252","3.094","21.4","12.7","39.7","14.7","9.9","1.2","",".","0.4",".",".",".",".",".",".",".","."
"","300
002 303","18","3.250","27.8","22.2","27.8","16.7",".","5.6","",".",".",".",".",".",".",".",".",".","."
"","300
002 307","14","3.292","28.6",".","50.0","7.1",".",".","",".","7.1",".",".",".",".",".","7.1",".","."
"","300
002 308","12","3.083","25.0","25.0","8.3","25.0","8.3","8.3","",".",".",".",".",".",".",".",".",".","."
"","300
002 306","27","3.148","25.9","14.8","29.6","22.2","7.4",".","",".",".",".",".",".",".",".",".",".","."
"","300
002 305","7","3.833","71.4",".","14.3",".",".",".","",".",".",".",".",".",".","14.3",".",".","."
"","300
002 304","16","3.094","25.0","6.3","43.8","12.5","12.5",".","",".",".",".",".",".",".",".",".",".","."
"","300
002 302","15","3.100","33.3","6.7","26.7","13.3","20.0",".","",".",".",".",".",".",".",".",".",".","."
"","300
002 301","21","3.167","28.6","19.0","23.8","14.3","14.3",".","",".",".",".",".",".",".",".",".",".","."
