"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","N","NR","Other"
"428
GREEK","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"First Semester Greek","103
001","","20","3.200","35.0","20.0","20.0",".","10.0","15.0",".",".","",".",".","",".","",".","",".",".",".","."
"First Semester Greek","303
001","","5","3.906","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Intermediate Greek","305
001","","7","3.286","71.4",".","14.3",".",".",".","14.3",".","",".",".","",".","",".","",".",".",".","."
"Plutarch","564
001","","10","3.450","50.0","30.0",".",".","20.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","699
011","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Individual Research Thesis","890
002","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"428
GREEK","Dept. Total","","44","3.353","50.0","18.2","11.4",".","9.1","6.8","2.3","2.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.375","50.0","25.0",".",".",".","25.0",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","10","3.450","40.0","30.0","20.0",".",".","10.0",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","9","2.984","44.4","11.1",".",".","33.3","11.1",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","7","3.104","42.9","14.3","28.6",".",".",".","14.3",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","30","3.234","43.3","20.0","13.3",".","10.0","10.0","3.3",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","3.333","66.7",".",".",".","33.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","11","3.800","63.6","18.2","9.1",".",".",".",".","9.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","44","3.353","50.0","18.2","11.4",".","9.1","6.8","2.3","2.3","",".",".","",".","",".","",".",".",".","."
