"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"292
DY SCI","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"","101
001 302","","13","3.385","30.8","15.4","53.8",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","101
001 301","","12","3.500","33.3","25.0","33.3",".",".",".","",".",".",".",".",".",".","8.3",".",".","."
"Livestock Production","Course Total","","25","3.438","32.0","20.0","44.0",".",".",".","",".",".",".",".",".",".","4.0",".",".","."
"","299
024","","13","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","299
032","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Lactation","305
001","","18","3.250","38.9","11.1","22.2","16.7","11.1",".","",".",".",".",".",".",".",".",".",".","."
"Comparative Animal Nutritn","311
001","","14","2.036",".",".","21.4","21.4","42.9",".","","14.3",".",".",".",".",".",".",".",".","."
"","313
001","","4","2.750",".","50.0",".",".",".","50.0","",".",".",".",".",".",".",".",".",".","."
"","313
002","","11","3.150","18.2","9.1","45.5","18.2",".",".","",".",".",".",".",".",".","9.1",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","15","3.036","13.3","20.0","33.3","13.3",".","13.3","",".",".",".",".",".",".","6.7",".",".","."
"Livestck Prod&Hlth-Ag Dvlpm","370
001 301","","2","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","375
001","","19","3.500","36.8","36.8","21.1",".",".","5.3","",".",".",".",".",".",".",".",".",".","."
"","375
002","","7","3.357","42.9","14.3","14.3","28.6",".",".","",".",".",".",".",".",".",".",".",".","."
"","375
003","","11","3.591","72.7",".","9.1","9.1","9.1",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","37","3.500","48.6","21.6","16.2","8.1","2.7","2.7","",".",".",".",".",".",".",".",".",".","."
"","399
014","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","399
028","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Proseminar","690
001","","16","3.375","31.3","31.3","18.8","18.8",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
014","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
016","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
024","","10","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
032","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Special Problems","Course Total","","15","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","875
001","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","875
002","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","875
004","","5","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","9","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","900
001","","8","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","900
003","","2","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","900
004","","7","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","900
005","","6","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","23","4.000","91.3",".",".",".",".",".","",".","8.7",".",".",".",".",".",".",".","."
"","990
008","","3","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
011","","2","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","2","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
014","","2","",".",".",".",".",".",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","990
016","","2","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
018","","1","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
020","","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
021","","2","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
022","","3","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
025","","5","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
028","","2","",".",".",".",".",".",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
030","","3","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
032","","7","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","Page 13 of 441",""
