"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE LITERATURE","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"260
COMP LIT","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"Seminar-Translation","822
001","","10","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr in Poetics-Polyseminar","976
001","","6","3.900","66.7","16.7","",".",".","",".","",".","",".","16.7",".",".",".",".",".",".",".","."
"","990
003","","4","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
005","","2","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
011","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"","990
015","","1","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".","",".",".","",".","",".","",".","75.0",".",".",".","25.0",".",".",".","."
"","999
003","","1","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
009","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
011","","3","4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","999
015","","4","3.786","50.0","25.0","",".",".","",".","",".","",".",".",".",".",".",".","25.0",".",".","."
"Independent Work","Course Total","","11","3.921","81.8","9.1","",".",".","",".","",".","",".",".",".",".",".",".","9.1",".",".","."
