"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","N","NR","Other"
"237
MARKETNG","","Grades","GPA","","","","","","","","","","","","","","","","",""
"","300
001 318","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 306","19","3.421","15.8","52.6","31.6",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 309","6","3.167",".","33.3","66.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 307","19","3.395","26.3","31.6","36.8","5.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 310","3","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 308","15","3.433","33.3","20.0","46.7",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 312","5","3.000",".","20.0","60.0","20.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 313","15","3.367","20.0","46.7","20.0","13.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 314","11","3.182","9.1","36.4","36.4","18.2",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 315","9","3.167","11.1","11.1","77.8",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 316","2","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 317","11","3.091",".","45.5","27.3","27.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 311","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 301","25","3.300","20.0","28.0","44.0","8.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 302","14","3.286","14.3","35.7","42.9","7.1",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 303","22","3.273","18.2","27.3","45.5","9.1",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 305","25","3.380","16.0","44.0","40.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
001 304","19","3.368","21.1","36.8","36.8","5.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","Section Total","239","3.320","18.8","33.5","40.6","7.1",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 313","13","3.000","7.7","7.7","61.5","23.1",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 318","16","3.406","31.3","37.5","18.8","6.3","6.3",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 317","18","3.194","5.6","38.9","44.4","11.1",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 316","21","2.976",".","23.8","47.6","28.6",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 314","18","3.250","27.8","16.7","38.9","11.1","5.6",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 312","19","3.105","15.8","21.1","31.6","31.6",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 301","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 302","13","3.269","23.1","30.8","30.8","7.7","7.7",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 303","7","3.357","42.9",".","42.9","14.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 304","4","3.125",".","50.0","25.0","25.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 305","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 306","4","3.125","25.0",".","50.0","25.0",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 307","8","3.286","12.5","25.0","50.0",".",".",".",".","12.5",".",".",".",".","",".",".",".","."
"","300
002 308","16","3.031","6.3","18.8","56.3","12.5",".","6.3",".",".",".",".",".",".","",".",".",".","."
"","300
002 309","18","2.944",".","27.8","44.4","16.7","5.6","5.6",".",".",".",".",".",".","",".",".",".","."
"","300
002 310","16","2.906","12.5","18.8","37.5","25.0",".",".","6.3",".",".",".",".",".","",".",".",".","."
"","300
002 311","18","3.222","11.1","27.8","55.6","5.6",".",".",".",".",".",".",".",".","",".",".",".","."
"","300
002 315","16","2.938",".","6.3","81.3","6.3","6.3",".",".",".",".",".",".",".","",".",".",".","."
"","Section Total","239","3.124","12.6","23.4","44.8","15.5","2.1","0.8","0.4","0.4",".",".",".",".","",".",".",".","."
"","300
003","5","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Marketing Management","Course Total","483","3.228","16.1","28.6","42.2","11.2","1.0","0.4","0.2","0.2",".",".",".",".","",".",".",".","."
"","305
001","28","3.214","35.7","21.4","14.3","7.1","21.4",".",".",".",".",".",".",".","",".",".",".","."
"","305
002","51","3.353","33.3","23.5","27.5","11.8","3.9",".",".",".",".",".",".",".","",".",".",".","."
"","305
003","15","3.433","40.0","26.7","20.0","6.7","6.7",".",".",".",".",".",".",".","",".",".",".","."
"","305
004","38","3.250","13.2","36.8","36.8","13.2",".",".",".",".",".",".",".",".","",".",".",".","."
"Consumer Behavior","Course Total","132","3.303","28.8","27.3","26.5","10.6","6.8",".",".",".",".",".",".",".","",".",".",".","."
"","310
001","42","3.619","35.7","54.8","7.1","2.4",".",".",".",".",".",".",".",".","",".",".",".","."
"","310
002","22","3.571","31.8","45.5","18.2",".",".",".",".","4.5",".",".",".",".","",".",".",".","."
"","310
003","41","3.293","19.5","34.1","34.1","9.8","2.4",".",".",".",".",".",".",".","",".",".",".","."
"Marketing Research","Course Total","105","3.481","28.6","44.8","20.0","4.8","1.0",".",".","1.0",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 60 of 441",""
