"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"180
ART HIST","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"","681
009","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","681
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","4.000","60.0",".",".",".","",".","",".","",".",".",".",".",".","40.0",".",".",".","."
"Senior Honors Thesis","682
025","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
002","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","699
003","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
010","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","699
014","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
018","","1","",".",".",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"","699
025","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","50.0",".",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"Practicum in Art History","701
001","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
002","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
003","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
009","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
018","","2","3.667","50.0",".","50.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
025","","4","3.400","75.0",".","25.0",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"","799
029","","1","3.500",".","100.0",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.743","76.9","7.7","15.4",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Smr-Italian Renaissance Art","825
001","","10","3.929","60.0","10.0",".",".","",".","",".","",".","10.0",".",".",".",".","20.0",".",".","."
"","990
006","","3","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
007","","2","",".",".",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","990
009","","4","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
014","","2","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
015","","2","",".",".",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","990
018","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"","990
025","","1","",".",".",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".","",".","",".","",".","13.3",".",".",".","86.7",".",".",".","."
