"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","N","NR","Other"
"448
HISTORY","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","Dept. Total","3680","3.295","26.0","28.3","23.6","8.3","4.3","0.8","0.9","3.3","0.1",".","",".","1.5","2.0","0.2","0.4","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","410","3.131","17.8","29.3","28.0","13.2","8.0","1.5","1.5",".",".",".","",".",".",".",".","0.7","."
"Sophomore","","558","3.210","19.5","30.5","30.6","11.1","4.1","1.6","0.9","0.5","0.2",".","",".",".","0.4","0.2","0.4","."
"Junior","","1023","3.266","23.4","30.9","27.4","9.2","4.0","0.9","1.0","1.1","0.1",".","",".",".","1.4","0.1","0.2","0.5"
"Senior","","1319","3.330","28.1","29.8","22.3","7.3","4.6","0.5","0.9","2.1",".",".","",".","0.8","2.8","0.3","0.2","0.3"
"Undergraduates","","3310","3.262","23.9","30.2","26.0","9.2","4.8","0.9","1.0","1.3","0.1",".","",".","0.3","1.6","0.2","0.3","0.3"
"Special","","60","3.756","26.7","11.7","1.7","1.7",".",".",".","45.0",".",".","",".",".",".","1.7","10.0","1.7"
"Graduate","","307","3.873","47.6","10.7","2.6",".",".",".",".","17.6",".",".","",".","14.3","6.8",".","0.3","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.750","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","3680","3.295","26.0","28.3","23.6","8.3","4.3","0.8","0.9","3.3","0.1",".","",".","1.5","2.0","0.2","0.4","0.3"
