"MECHANICAL ENGINEERING","Section","# 
Ave","A","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"612
M E","","Grades
GPA","","","","","","","","","","","","","","","","","","","","",""
"Boundary Layer Theory","773
001","8
3.688","50.0","37.5","","12.5",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","790
005","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
007","6",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
010","8",".",".","",".",".","",".","",".","",".","12.5",".",".",".","87.5","",".",".",".","."
"","790
013","4",".",".","",".",".","",".","",".","",".","25.0",".",".",".","75.0","",".",".",".","."
"","790
014","7",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
017","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
018","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
019","3",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7","",".",".",".","."
"","790
024","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
028","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
032","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
036","4",".",".","",".",".","",".","",".","",".","25.0",".",".",".","75.0","",".",".",".","."
"","790
038","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
042","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
045","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
046","8",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
047","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
051","6",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
053","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
056","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","790
057","3",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","790
059","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"Master's Research & Thesis","Course Total","76",".",".","",".",".","",".","",".","",".","26.3",".",".",".","73.7","",".",".",".","."
"","890
003","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
007","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
010","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
011","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
013","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
014","3",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
015","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
019","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
023","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
024","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
025","2",".",".","",".",".","",".","",".","",".","50.0",".",".",".","50.0","",".",".",".","."
"","890
029","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
032","2",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
038","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
042","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
045","1",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
046","4",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
047","6",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
053","4",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","890
056","2",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0","",".",".",".","."
"","890
059","3",".",".","",".",".","",".","",".","",".","33.3",".",".",".","66.7","",".",".",".","."
"","890
060","1",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"PhD Research and Thesis","Course Total","49",".",".","",".",".","",".","",".","",".","22.4",".",".",".","77.6","",".",".",".","."
"Graduate Seminar","903
001","57
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Rheology Research Seminar","925
001","3
4.000","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 136 of 441",""
