"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"MATERIALS SCI AND ENGINEERI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"636
M S & E","","Grades","","GPA","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Materials","250
001","","38","3.724","84.2",".","7.9","2.6","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Mat Sci&Engr Prob Solvng I","271
001","","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Macroprocessing-Materials","332
001","","14","3.179","35.7","14.3","35.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","350
001","","155","3.286","29.7","21.3","32.9","7.1","5.8","2.6",".",".",".",".",".",".","0.6",".",".","."
"","351
001 301","","19","2.605",".","10.5","26.3","57.9",".",".","5.3",".",".",".",".",".",".",".",".","."
"","351
001","","11","2.727","18.2","9.1","27.3","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Struct&Property Rels-Solids","Course Total","","30","2.650","6.7","10.0","26.7","46.7","3.3",".","6.7",".",".",".",".",".",".",".",".","."
"","362
001 301","","7","3.667","28.6","57.1",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","362
001 302","","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Materials Laboratory III","Course Total","","16","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Materials Sys&Design Proj I","379
001","","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","401
001","","19","3.762","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Corrosion","433
001 301","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Thin-Film Deposition","434
001","","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crystallog & Xray Diffractn","448
001 301","","22","3.619","45.5","27.3","22.7",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"","451
001 301","","24","3.021","29.2","16.7","16.7","4.2","12.5","20.8",".",".",".",".",".",".",".",".",".","."
"","451
001","","11","2.800","9.1","36.4","18.2",".","18.2",".","9.1",".",".",".",".",".",".",".","9.1","."
"Intro to Ceramic Materials","Course Total","","35","2.956","22.9","22.9","17.1","2.9","14.3","14.3","2.9",".",".",".",".",".",".",".","2.9","."
"Fundamentals-Heat Treatment","465
001","","5","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474
001","","2","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Solids","530
001","","11","3.182","18.2","18.2","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
033","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program","702
001","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","790
002","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","790
005","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","790
009","","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","790
018","","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","790
028","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","790
030","","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","790
033","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","790
034","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","13","",".",".",".",".",".",".",".","30.8",".",".",".","69.2",".",".",".","."
"","803
003","","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","803
004","","2","3.875","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","803
006","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","803
007","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","803
008","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","803
010","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","803
012","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","21","3.987","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
002","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","890
005","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","890
018","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","890
025","","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","890
028","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","Page 138 of 441",""
