"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"103","001 301 6","","20","3.105","20.0","35.0","10.0","5.0","25.0",".",".","",".","",".",".","",".","",".","5.0",".",".","."
"103","001 302 6","","8","2.375",".",".","25.0","25.0","37.5","12.5",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 318 6","","22","3.159","40.9","13.6","9.1","9.1","27.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 316 6","","16","3.063","25.0","25.0","12.5","12.5","25.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 315 6","","7","2.286",".",".","28.6",".","71.4",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 314 6","","15","3.133","26.7","20.0","20.0","20.0","13.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 313 6","","6","3.083","33.3",".","16.7","50.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 304 6","","6","3.417","50.0","16.7","16.7",".","16.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 311 6","","5","3.400","60.0",".","20.0",".","20.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 319 6","","9","3.278","22.2","44.4","11.1","11.1",".","11.1",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 327 6","","2","2.000",".",".",".",".","50.0",".",".","",".","",".",".","",".","",".","50.0",".",".","."
"103","001 312 6","","17","3.059","29.4","23.5",".","23.5","23.5",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 317 6","","13","2.692","15.4","7.7","15.4","23.1","23.1","15.4",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 330 6","","3","2.667",".","33.3",".","33.3","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 322 6","","15","2.533","20.0",".","20.0","13.3","40.0",".","6.7","",".","",".",".","",".","",".",".",".",".","."
"103","001 307 6","","14","2.857","35.7",".",".","28.6","35.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 326 6","","7","2.500",".","14.3","28.6",".","57.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 306 6","","10","2.700","10.0","30.0",".","10.0","30.0","20.0",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 305 6","","7","3.000","14.3","42.9",".","14.3","28.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 321 6","","14","3.143","21.4","28.6","21.4","14.3","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 323 6","","11","3.136","27.3","27.3","18.2",".","27.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 328 6","","9","2.944","22.2","11.1","33.3",".","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"103","001 329 6","","15","2.900","13.3","33.3","6.7","13.3","33.3",".",".","",".","",".",".","",".","",".",".",".",".","."
