"L&S","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","N","NR","Other"
"250
COM ARTS","","Grades","GPA","","","","","","","","","","","","","","","","",""
"250
COM ARTS","Dept. Total","3314","3.221","21.3","28.3","28.3","10.3","4.8","1.2","1.0","2.9","0.0","0.2","",".","0.3","1.1","0.2","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","850","3.171","13.2","38.4","30.0","9.6","5.2","1.4","1.3",".",".",".","",".",".","0.7","0.1","0.1","."
"Sophomore","","457","3.083","14.2","28.7","31.5","14.2","7.0","2.0","1.3",".",".",".","",".",".","0.7","0.2","0.2","."
"Junior","","808","3.202","21.2","29.3","29.7","11.3","4.0","1.5","1.6","0.2",".","0.2","",".",".","0.7","0.1",".","."
"Senior","","931","3.240","24.9","23.6","31.4","11.0","5.5","0.9","0.4","0.3",".","0.5","",".","0.1","1.2","0.2",".","."
"Undergraduates","","3046","3.187","19.0","30.0","30.6","11.2","5.2","1.3","1.1","0.2",".","0.2","",".","0.0","0.9","0.2","0.1","."
"Special","","17","3.466","35.3","11.8","29.4","5.9",".",".",".","17.6",".",".","",".",".",".",".",".","."
"Graduate","","250","3.921","48.0","8.4","0.4",".",".",".",".","34.8","0.4",".","",".","4.0","3.6","0.4",".","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".",".","."
"","Dept. Total","3314","3.221","21.3","28.3","28.3","10.3","4.8","1.2","1.0","2.9","0.0","0.2","",".","0.3","1.1","0.2","0.1","."
