"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","N","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"100","001","","14","3.429","21.4","50.0","21.4","7.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","002","","13","3.462","15.4","61.5","23.1",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","003","","13","3.154",".","53.8","30.8","7.7",".","7.7",".","",".","",".",".","",".","",".",".",".",".","."
"100","004","","14","2.893",".","57.1","14.3","7.1","14.3",".","7.1","",".","",".",".","",".","",".",".",".",".","."
"100","005","","14","3.286","28.6","14.3","42.9","14.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","006","","15","2.867",".","26.7","40.0","13.3","13.3","6.7",".","",".","",".",".","",".","",".",".",".",".","."
"100","007","","14","3.357","21.4","35.7","35.7","7.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","008","","14","3.107","14.3","35.7","42.9",".",".",".","7.1","",".","",".",".","",".","",".",".",".",".","."
"100","009","","13","3.038","7.7","23.1","46.2","15.4","7.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","010","","14","3.179",".","42.9","50.0","7.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","011","","15","3.600","33.3","53.3","13.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","012","","14","3.038",".","21.4","57.1","14.3",".",".",".","",".","",".",".","",".","",".","7.1",".",".","."
"100","013","","15","3.400","20.0","60.0","6.7","6.7","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","014","","14","3.500","42.9","21.4","28.6","7.1",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","015","","15","3.367","13.3","53.3","26.7","6.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","016","","15","3.100","6.7","33.3","33.3","26.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"100","017","","14","3.000",".","42.9","28.6",".","21.4",".",".","",".","",".",".","",".","",".","7.1",".",".","."
