"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","","N","NR","Other"
"224
CHEM","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","","23","3.900","87.0","4.3","4.3",".","4.3","",".","",".",".",".",".",".",".","",".",".",".","."
"Organometal-Transitn Elemts","714
001","","19","3.511","26.3","42.1","21.1",".",".","",".","",".",".",".",".",".",".","10.5","",".",".","."
"Molecular Recognition","766
001","","3","3.333","33.3",".","66.7",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Bioorganic Chemistry","845
001","","18","4.000","83.3",".",".",".",".","",".","",".",".",".",".",".",".","16.7","",".",".","."
"","860
001","","6","3.750","50.0","50.0",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","860
002","","6","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Topics-Physical Chemistry","Course Total","","12","3.935","75.0","25.0",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Inorganic Chemistry","900
001","","25","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Smr-Teaching of Chemistry","901
001","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","915
005","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","915
009","","5","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","915
045","","4","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","915
058","","1","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Struct&Bond-Inorg Compounds","Course Total","","11","#Num!","45.5",".",".",".",".","",".","",".","54.5",".",".",".",".","",".",".",".","."
"Seminar-Analytical Chemistry","920
001","","15","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
002","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
039","","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
041","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
049","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","923
057","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Spctroscpy&Spectrochem Anal","Course Total","","12","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Rheology Research Seminar","925
001","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Seminar-Organic Chemistry","940
001","","55","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","941
014","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","941
026","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","941
047","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Synthetic Organic Chemistry","Course Total","","16","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","942
005","","2","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","942
020","","4","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","942
023","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Smr-Physical Organic Chem","Course Total","","8","4.000","25.0",".",".",".",".","",".","",".","75.0",".",".",".",".","",".",".",".","."
"","943
048","","5","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","943
050","","5","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","943
060","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Smr-Bio-Organic Chemistry","Course Total","","14","4.000","64.3",".",".",".",".","",".","",".","35.7",".",".",".",".","",".",".",".","."
"Seminar-Physical Chemistry","960
001","","31","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"","962
001","","2","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","962
004","","2","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","962
024","","1","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Smr-Macromolecular Chem","Course Total","","5","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","964
004","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","964
024","","2","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","964
046","","1","#Num!","100.0",".",".",".",".","",".","",".",".",".",".",".",".","",".",".",".","."
"","964
059","","1","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"Seminar: Molecular Dynamics","Course Total","","6","4.000","83.3",".",".",".",".","",".","",".","16.7",".",".",".",".","",".",".",".","."
"","990
001","","19","",".",".",".",".",".","",".","",".","100.0",".",".",".",".","",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","","","","","Page 184 of 441",""
