"HEBREW (HEBREW AND SEMITIC  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"440
HEBR ST","","Grades","","GPA","","","","","","","","","","","","","","","",""
"","101
001","","20","3.342","55.0","15.0",".","10.0","5.0","5.0","5.0",".",".",".",".",".",".",".","5.0","."
"","101
002","","21","3.500","61.9","14.3","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","101
003","","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","","81","3.625","65.4","18.5","4.9","3.7","2.5","1.2","2.5",".",".",".",".",".",".",".","1.2","."
"Biblical Hebrew-First Sem","103
001","","6","2.750","16.7","33.3","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","201
001","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","13","3.667","61.5","15.4","7.7",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"Third Semester Hebrew","Course Total","","26","3.600","50.0","23.1","19.2",".","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","211
001 306","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001 305","","4","3.333",".","50.0","25.0",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","211
001 302","","5","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001 301","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001 303","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001 304","","5","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","Course Total","","33","3.609","33.3","51.5","12.1",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","217
001 303","","5","3.400","40.0","40.0",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","217
001 302","","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"","217
001 305","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","217
001 301","","3","3.500",".","33.3",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","217
001 304","","2","2.000","50.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","Course Total","","15","3.269","46.7","20.0",".",".","13.3",".","6.7","13.3",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","","8","2.938","25.0","12.5","25.0",".","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","","31","3.161","16.1","25.8","38.7","3.2","3.2",".","3.2","6.5",".",".",".",".",".","3.2",".","."
"Intro to Hebrew Literature","301
001","","29","3.603","55.2","20.7","17.2","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303
001","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts","323
001","","10","2.700","10.0","30.0","20.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"","369
001","","35","3.354","20.0","42.9","25.7",".","8.6",".",".","2.9",".",".",".",".",".",".",".","."
"","369
001 301","","8","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","Course Total","","43","3.385","16.3","53.5","20.9",".","7.0",".",".","2.3",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","","25","3.640","72.0","8.0","16.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Texts","448
001","","3","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"Biblical Archaeology","451
001","","5","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Civ-Medvl Spain(Eng)","473
001","","16","3.594","43.8","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513
001","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","","21","3.810","76.2","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Aramaic I","601
001","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Ezekiel","641
001","","4","3.333",".","50.0","25.0",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"","799
011","","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","799
014","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","799
016","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","4.000","40.0",".",".",".",".",".",".","40.0",".",".",".",".","20.0",".",".","."
"Seminar-Biblical Studies","951
001","","9","3.222","33.3","22.2","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","990
011","","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
