"CAVE","","","","","","","","","","","","","","","","","","","","","","","",""
"CONTINUING AND VOCATIONAL  Section","#","","Ave","A","","AB","B","","BC","C","","D","","F","","S","U","CR","N","P","I","N","NR","Other"
"268
C A V E","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"Principles of Adult Education
515
001","","23","3.413","","47.8","17.4","","13.0","13.0","",".","","8.7","",".",".",".",".",".",".",".",".",".","."
"General Topics
675
001","","8","3.405","","62.5","12.5","","12.5",".","",".","",".","","12.5",".",".",".",".",".",".",".",".","."
"699
036","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"699
045","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"699
055","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"699
069","","1","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"699
074","","2","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"699
078","","2","4.000","","50.0",".","",".",".","",".","",".","",".",".",".",".",".",".","50.0",".",".","."
"699
080","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".",".","100.0",".",".","."
"Ind Stdy-Special Proj&Prob
Course Total","","10","4.000","","60.0",".","",".",".","",".","",".","",".",".",".",".",".","20.0","20.0",".",".","."
"Research Methods
701
001","","12","3.667","","66.7",".","","33.3",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Leadership Dynamics
705
001","","8","3.938","","87.5","12.5","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Intro-Continuing & Voc Educ
720
001","","10","3.833","","60.0","30.0","",".",".","",".","",".","",".",".",".",".",".",".","10.0",".",".","."
"Program Develop-Cont Educ
730
001","","13","3.688","","38.5","7.7","","15.4",".","",".","",".","",".",".",".",".",".",".","38.5",".",".","."
"The Adult Distance Learner
743
001","","14","3.821","","64.3","35.7","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Leadershp & Coord-Cont&Tech Ed
811
001","","10","3.750","","20.0","20.0","",".",".","",".","",".","",".",".",".",".",".",".","60.0",".",".","."
"Technol in Cont & Higher Educ
814
001","","5","4.000","","100.0",".","",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"990
036","","3","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
039","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
055","","4","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
063","","1","","",".",".","",".",".","",".","",".","",".","100.0",".",".",".",".",".",".",".","."
"990
064","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"990
069","","3","","",".",".","",".",".","",".","",".","",".","66.7",".",".",".","33.3",".",".",".","."
"990
074","","2","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"Research
Course Total","","16","","",".",".","",".",".","",".","",".","",".","18.8",".",".",".","81.3",".",".",".","."
"Advanced Independent Study
999
069","","1","","",".",".","",".",".","",".","",".","",".",".",".",".",".","100.0",".",".",".","."
"268
C A V E
Dept. Total","","130","3.676","","49.2","13.1","","7.7","2.3","",".","","1.5","","0.8","2.3",".",".",".","12.3","10.8",".",".","."
