"ART HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"180
ART HIST","","Grades","GPA","","","","","","","","","","","","","","","",""
"","201
001 302","21","2.929","23.8","14.3","23.8",".","38.1",".",".",".",".",".",".",".",".",".",".","."
"","201
001 301","28","2.841","10.7","14.3","25.0","10.7","7.1","7.1","3.6",".",".",".",".",".","3.6",".","17.9","."
"","201
001 310","16","3.250","25.0","25.0","31.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"","201
001 303","23","3.457","52.2","13.0","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","201
001 304","21","3.286","47.6","14.3","19.0","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","201
001 305","26","3.021","23.1","7.7","26.9","19.2","7.7","7.7",".",".",".",".",".",".","3.8","3.8",".","."
"","201
001 306","24","3.083","50.0","12.5","4.2","4.2","12.5","8.3","8.3",".",".",".",".",".",".",".",".","."
"Ancient and Medieval Art","Course Total","159","3.119","32.7","13.8","20.8","8.8","11.9","4.4","2.5",".",".",".",".",".","1.3","0.6","3.1","."
"","202
001 309","22","3.619","50.0","27.3","13.6",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","202
001 308","26","3.820","73.1","11.5","11.5",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","202
001 303","24","3.458","41.7","20.8","29.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","202
001 301","22","3.738","59.1","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"","202
001 302","25","3.600","56.0","20.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","202
001 307","21","3.286","42.9","23.8","9.5","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","202
001 304","21","3.571","57.1","19.0","14.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","202
001 310","17","3.813","70.6","11.8","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","202
001 305","22","3.705","68.2","13.6","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","202
001 306","19","3.618","52.6","15.8","10.5","10.5",".",".",".","10.5",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","Course Total","219","3.620","57.1","19.2","13.7","3.7","3.2",".","0.5","0.9",".",".",".",".","1.4","0.5",".","."
"","208
001 301","23","3.375","34.8","21.7","13.0","8.7","8.7",".",".","13.0",".",".",".",".",".",".",".","."
"","208
001 302","20","3.225","35.0","15.0","25.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","208
001 303","23","3.000","13.0","17.4","39.1","8.7","8.7","8.7",".","4.3",".",".",".",".",".",".",".","."
"W Architecture:Renaiss-Mod","Course Total","66","3.194","27.3","18.2","25.8","9.1","9.1","4.5",".","6.1",".",".",".",".",".",".",".","."
"Bascom Colloquium-Art History","236
001","14","3.308","21.4","35.7","21.4","7.1","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Art&Archaeology-Ancient Greece","300
001","53","3.053","18.9","18.9","22.6","9.4","17.0","1.9",".","11.3",".",".",".",".",".",".",".","."
"Romanesque&Gothic Art&Architcr","318
001","58","2.578","6.9","17.2","15.5","24.1","17.2","6.9","6.9","5.2",".",".",".",".",".",".",".","."
"Arts in 16th Century Italy","323
001","54","3.228","7.4","40.7","27.8","13.0","1.9",".",".","9.3",".",".",".",".",".",".",".","."
"Netherlandish Painting-15c","331
001","28","3.566","57.1","3.6","17.9","3.6",".",".","3.6","10.7",".",".",".",".","3.6",".",".","."
"Bosch & Holbein to Bruegel","332
001","26","3.654","57.7","7.7","30.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Arts of India","362
001","42","3.050","19.0","16.7","33.3","9.5","9.5","4.8",".","2.4",".",".",".",".","4.8",".",".","."
"Am Dec Arts & Int: 1620-1840","363
001","35","3.115","40.0","8.6","22.9","8.6","11.4","5.7","2.9",".",".",".",".",".",".",".",".","."
"Chinese Painting","371
001","34","2.864","8.8","17.6","26.5","20.6","20.6",".",".","5.9",".",".",".",".",".",".",".","."
"Arts of Japan","372
001","55","2.981","10.9","18.2","34.5","14.5","10.9",".","1.8","1.8",".",".",".",".","3.6",".","3.6","."
"Topics in 19th Century Art","407
001","29","3.652","34.5","34.5","10.3",".",".",".",".",".",".",".",".",".","6.9",".","13.8","."
"Topics in Twentieth-Cent Art","408
001","48","3.380","37.5","25.0","18.8","10.4","2.1",".","2.1","4.2",".",".",".",".",".",".",".","."
"Hist of Painting in India","443
001","17","3.333","29.4","17.6","29.4",".","11.8",".",".",".",".",".",".",".",".","11.8",".","."
"Topics-Architecturl History","449
001","20","3.735","60.0","10.0","10.0","5.0",".",".",".","10.0",".",".",".",".","5.0",".",".","."
