"L&S","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"970
ZOOLOGY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","990
047","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
048","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
049","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"","990
055","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
058","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
064","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
065","2","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
066","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","53","",".",".",".",".",".",".",".","69.8",".",".",".","30.2",".",".",".","."
"970
ZOOLOGY","Dept. Total","3530","3.060","27.6","13.3","29.3","7.4","13.1","4.1","0.8","1.1",".","0.8",".","0.9","0.8","0.3","0.1","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","354","2.872","21.5","16.7","23.2","7.6","21.2","5.6","2.0",".",".",".",".",".","0.6","0.3",".","1.4"
"Sophomore","","1336","2.987","25.4","13.4","32.7","8.2","14.3","3.7","1.0",".",".","0.1",".",".","0.6","0.2","0.1","0.3"
"Junior","","849","3.077","27.1","12.2","31.4","7.9","11.5","5.3","0.8",".",".","1.3",".","0.2","1.3","0.5",".","0.4"
"Senior","","830","3.194","30.7","14.9","27.2","6.6","11.6","3.5","0.2","0.1",".","2.0",".","1.8","0.7","0.2",".","0.2"
"Undergraduates","","3369","3.047","26.7","13.8","30.0","7.7","13.7","4.2","0.9","0.0",".","0.9",".","0.5","0.8","0.3","0.1","0.4"
"Special","","24","3.397","41.7","4.2","25.0","4.2","12.5",".",".","4.2",".","4.2",".",".","4.2",".",".","."
"Graduate","","134","3.707","47.0","2.2","9.7","0.7",".",".",".","27.6",".",".",".","11.9",".",".","0.7","."
"Prof Yr 1","","3","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","3","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","3530","3.060","27.6","13.3","29.3","7.4","13.1","4.1","0.8","1.1",".","0.8",".","0.9","0.8","0.3","0.1","0.4"
