"Fall 2002-2003","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","",""
"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"960
WL ECOL","","Grades","","GPA","","","","","","","","","","","","","","","",""
"Dept & Career Orientation","100
001","","45","#Num!","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
020","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318
001","","196","2.692","9.2","19.9","16.3","17.3","23.0","10.2","2.6","0.5",".",".",".",".","0.5","0.5",".","."
"Ecol Prin Appl to Wildlife","319
001","","42","3.143","21.4","31.0","26.2","7.1","11.9",".","2.4",".",".",".",".",".",".",".",".","."
"","360
001 309","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 315","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 302","","6","2.500","16.7",".","33.3","33.3",".",".","16.7",".",".",".",".",".",".",".",".","."
"","360
001 305","","2","2.500",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"","360
001 314","","5","3.000","20.0",".","60.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","360
001 304","","7","3.143","14.3","28.6","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","360
001 303","","3","3.500","66.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 313","","6","2.917",".","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","360
001 312","","5","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 311","","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001 301","","4","2.875","25.0",".","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".","."
"","360
001 306","","7","2.714","14.3",".","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","360
001 307","","4","2.875","25.0",".","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"","360
001 308","","4","3.000","25.0",".","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","Course Total","","60","3.042","25.0","11.7","31.7","16.7","11.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"","375
001","","18","3.265","27.8","22.2","27.8","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","375
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.423","48.0","16.0","20.0","4.0","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"","401
001 302","","21","3.100","4.8","38.1","33.3","9.5","9.5",".",".",".",".",".",".",".","4.8",".",".","."
"","401
001 301","","24","3.022","16.7","12.5","29.2","33.3","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"Physiologicl Animal Ecology","Course Total","","45","3.058","11.1","24.4","31.1","22.2","6.7",".",".",".",".",".",".",".","4.4",".",".","."
"Ecosystem Management","527
001","","14","3.393","50.0","21.4","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548
001","","58","2.921","20.7","15.5","25.9","6.9","20.7","6.9","1.7","1.7",".",".",".",".",".",".",".","."
"","561
001 301","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
001 303","","8","3.750","37.5",".","12.5",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"","561
001 304","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","561
001 302","","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","Course Total","","38","3.824","65.8","18.4","2.6","2.6",".",".",".",".",".",".",".",".","10.5",".",".","."
"Colloquium in Env Tox","606
001","","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
008","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","","9","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Special Problems","Course Total","","10","4.000","70.0",".",".",".",".",".",".",".",".",".",".",".","30.0",".",".","."
"Pract-Wildlife Ecol Teachng","799
028","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","961
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
007","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","","3","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
012","","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
013","","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","","2","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990
020","","5","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
028","","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
