"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","N","NR","Other"
"900
SOC","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"","999
011","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
012","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
013","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
014","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
030","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
037","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
042","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
049","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
054","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
061","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
066","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
080","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
083","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","999
084","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
086","1","",".",".",".",".",".",".",".",".","",".",".","",".",".","100.0",".",".","."
"","999
094","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
095","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Reading & Research","Course Total","22","4.000","45.5",".",".",".",".",".",".","50.0","",".",".","",".",".","4.5",".",".","."
"900
SOC","Dept. Total","3984","3.255","29.1","22.9","21.5","8.8","7.5","1.9","0.8","3.6","",".","0.9","",".","0.9","2.0","0.2","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","557","3.160","24.1","23.2","26.8","14.0","8.1","2.2","0.9","0.2","",".",".","",".",".","0.7",".",".","."
"Sophomore","","1083","3.173","27.0","22.9","24.3","11.3","9.7","2.2","1.3","0.1","",".",".","",".",".","1.0","0.3",".","."
"Junior","","922","3.239","28.2","26.2","23.0","8.7","9.2","2.2","0.7","0.4","",".","0.1","",".",".","1.3",".",".","."
"Senior","","926","3.303","31.7","24.3","22.2","7.5","6.5","2.2","0.5","1.6","",".","0.3","",".","0.4","2.2","0.3","0.1","."
"Undergraduates","","3488","3.221","28.1","24.2","23.8","10.0","8.5","2.2","0.9","0.6","",".","0.1","",".","0.1","1.3","0.2","0.0","."
"Special","","22","3.654","54.5","13.6","22.7",".",".",".",".","9.1","",".",".","",".",".",".",".",".","."
"Graduate","","472","3.754","35.6","14.0","4.2","0.4","0.4",".",".","25.2","",".","6.4","",".","6.6","7.0","0.2",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3984","3.255","29.1","22.9","21.5","8.8","7.5","1.9","0.8","3.6","",".","0.9","",".","0.9","2.0","0.2","0.0","."
