"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"320
E C E","","Grades","GPA","","","","","","","","","","","","","","","",""
"Feedback Control Systems","332
001","53","2.906","15.1","18.9","28.3","22.6","11.3",".","3.8",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","70","2.921","21.4","18.6","14.3","14.3","22.9","8.6",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","95","2.663","9.5","16.8","16.8","18.9","34.7","1.1","2.1",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","74","2.912","13.5","24.3","24.3","12.2","20.3","4.1","1.4",".",".",".",".",".",".",".",".","."
"","350
002","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
004","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","50","3.750","58.0","34.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","15","3.600","60.0","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","351
004","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","14","3.643","50.0","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","14","3.714","57.1","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","84","3.714","63.1","25.0","4.8","6.0","1.2",".",".",".",".",".",".",".",".",".",".","."
"","352
001","74","2.791","12.2","14.9","28.4","18.9","18.9","4.1","2.7",".",".",".",".",".",".",".",".","."
"","352
002","62","2.710","8.1","16.1","27.4","19.4","21.0","4.8","3.2",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","136","2.754","10.3","15.4","27.9","19.1","19.9","4.4","2.9",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","57","2.930","12.3","22.8","22.8","22.8","14.0","5.3",".",".",".",".",".",".",".",".",".","."
"","354
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","15","3.000","26.7","20.0","26.7","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","24","3.271","37.5","25.0","20.8","4.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".","."
"","355
001","39","2.882","20.5","10.3","25.6","17.9","20.5",".","2.6",".",".",".",".",".","2.6",".",".","."
"","355
002","3","3.167",".","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","42","2.902","19.0","14.3","23.8","19.0","19.0",".","2.4",".",".",".",".",".","2.4",".",".","."
"","370
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","51","3.951","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 301 6","6","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 302 6","9","3.111","11.1","22.2","55.6",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","376
001 301 6","7","3.214","42.9",".","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","376
001 308 6","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 302 6","4","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 310 6","3","3.167","33.3",".","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 307 6","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 309 6","7","2.800",".","14.3","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","28.6","."
"","376
001 309 6","6","3.083",".","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 307 6","12","3.333","25.0","33.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 308 6","4","2.250","25.0",".","25.0",".","25.0",".","25.0",".",".",".",".",".",".",".",".","."
"","376
001 310 6","9","2.889","11.1",".","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 311 6","8","3.250","37.5","25.0","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","376
001 311 6","5","3.000","20.0",".","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001 303 6","6","3.083","33.3",".","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","376
001 312 6","10","2.950","20.0","10.0","30.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
