"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"900
SOC","","Grades","GPA","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","457","3.128","25.4","21.0","23.0","13.8","11.4","3.1","0.7","0.9",".",".",".",".","0.9",".",".","."
"","125
001 307","22","2.864",".","27.3","27.3","36.4","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","125
001 315","18","3.167","27.8","27.8","11.1","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","125
001 301","19","3.026","10.5","21.1","42.1","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","125
001 302","19","3.053","10.5","21.1","42.1","21.1",".","5.3",".",".",".",".",".",".",".",".",".","."
"","125
001 303","23","2.795","4.3","21.7","26.1","17.4","26.1",".",".","4.3",".",".",".",".",".",".",".","."
"","125
001 304","18","3.056","5.6","38.9","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","125
001 305","15","3.033","26.7","26.7","6.7","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","125
001 306","17","3.176","41.2","11.8","5.9","23.5","17.6",".",".",".",".",".",".",".",".",".",".","."
"","125
001 308","18","3.194","27.8","16.7","33.3","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","125
001 309","15","3.133","13.3","40.0","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","125
001 310","21","3.000","23.8","9.5","23.8","28.6","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","125
001 311","20","3.100","25.0","20.0","20.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","125
001 312","19","2.632",".","15.8","26.3","47.4",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","125
001 314","17","2.824","5.9","5.9","35.3","52.9",".",".",".",".",".",".",".",".",".",".",".","."
"","125
001 313","18","3.000","38.9","5.6","16.7","16.7","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","Section Total","279","2.996","16.8","20.4","24.7","23.3","10.0","3.6","0.7","0.4",".",".",".",".",".",".",".","."
"","125
002","21","3.524","47.6","28.6","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Amer Society","Course Total","300","3.033","19.0","21.0","23.7","22.3","9.7","3.3","0.7","0.3",".",".",".",".",".",".",".","."
"Social Problems","130
001","201","3.444","32.3","36.3","21.9","3.0","3.0","1.0","0.5","1.0",".",".",".",".","0.5","0.5",".","."
"","131
001 309","16","2.750","25.0",".","31.3","12.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"","131
001 303","9","3.056","22.2","33.3","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","131
001 304","6","2.833","33.3","16.7","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","131
001 305","6","2.667",".","16.7","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"","131
001 306","12","2.625","16.7","8.3","16.7",".","33.3","25.0",".",".",".",".",".",".",".",".",".","."
"","131
001 308","15","2.667","13.3","13.3","33.3",".","13.3","20.0","6.7",".",".",".",".",".",".",".",".","."
"","131
001 310","14","2.893","7.1","21.4","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","131
001 311","10","2.750","10.0","20.0","10.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","131
001 312","14","2.679",".","21.4","42.9","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"","131
001 301","11","2.182",".",".","36.4",".","36.4","18.2","9.1",".",".",".",".",".",".",".",".","."
"","131
001 313","8","2.500",".","12.5","25.0","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".","."
"","131
001 302","14","2.750","21.4","14.3","21.4","7.1","21.4","7.1","7.1",".",".",".",".",".",".",".",".","."
"","131
001 307","15","2.433","6.7","13.3","20.0","6.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","Course Total","150","2.670","12.0","14.0","27.3","8.0","23.3","10.7","4.7",".",".",".",".",".",".",".",".","."
"","134
001 319","14","3.429","21.4","57.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001 309","22","3.273","27.3","22.7","36.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","134
001 321","21","3.625","38.1","42.9","14.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","134
001 320","19","3.263","10.5","31.6","57.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001 318","15","3.643","60.0","13.3","13.3",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"","134
001 316","18","3.676","61.1","11.1","16.7","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"","134
001 315","17","3.529","47.1","29.4","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001 314","24","3.239","25.0","12.5","41.7","16.7",".",".",".",".",".",".",".",".","4.2",".",".","."
"","134
001 313","22","3.476","36.4","31.8","18.2","4.5","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","134
001 312","20","3.100","30.0","5.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","134
001 311","17","3.235","11.8","29.4","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001 310","18","3.500","27.8","44.4","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001 308","13","3.385","30.8","23.1","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001 307","19","3.111","15.8","26.3","21.1","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","134
001 306","22","3.341","18.2","45.5","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2003","","","","","","","","","","","","","","","","","","Page 336 of 441",""
