"L&S","","","","","","","","","","","","","","","","","","","","",""
"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","N","NR","Other"
"140
AMER IND","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"Amer Indians in Higher Educ","150
001","","19","3.441","31.6","21.1","31.6","5.3",".",".","",".",".",".",".",".",".","10.5",".",".","."
"Indians of North America","314
001","","44","3.512","43.2","31.8","9.1","9.1","2.3","2.3","",".",".",".",".",".",".","2.3",".",".","."
"Archaeol of Eastern N Amer","355
001","","7","3.071",".","14.3","85.7",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Third Semester Ojibwe","401
001","","9","3.778","88.9",".",".",".",".","11.1","",".",".",".",".",".",".",".",".",".","."
"American Indian Folklore","431
001","","14","3.115","14.3","21.4","35.7","14.3",".","7.1","",".",".",".",".",".",".",".",".","7.1","."
"","450
001","","7","3.786","71.4","14.3","14.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","450
002","","10","3.200","30.0","10.0","40.0","10.0","10.0",".","",".",".",".",".",".",".",".",".",".","."
"","450
003","","6","3.300","16.7","50.0",".",".","16.7",".","",".",".",".",".",".",".","16.7",".",".","."
"","450
004","","16","3.867","75.0","12.5","6.3",".",".",".","",".",".",".",".",".",".",".","6.3",".","."
"","450
005","","21","3.316","28.6","28.6","9.5","19.0",".","4.8","",".","4.8",".",".",".",".","4.8",".",".","."
"Issues in Amer Ind Studies","Course Total","","60","3.500","45.0","21.7","13.3","8.3","3.3","1.7","",".","1.7",".",".",".",".","3.3","1.7",".","."
"","699
001","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
003","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"","699
005","","2","4.000","50.0",".",".",".",".",".","",".","50.0",".",".",".",".",".",".",".","."
"","699
007","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"Directed Study","Course Total","","5","4.000","60.0",".",".",".",".",".","",".","20.0",".",".",".",".","20.0",".",".","."
"140
AMER IND","Dept. Total","","158","3.467","41.1","22.2","18.4","7.6","1.9","2.5","",".","1.3",".",".",".",".","3.8","0.6","0.6","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","31","3.534","41.9","19.4","22.6","9.7",".",".","",".",".",".",".",".",".","6.5",".",".","."
"Sophomore","","","13","3.229","46.2","7.7","23.1","7.7","7.7","7.7","",".",".",".",".",".",".",".",".",".","."
"Junior","","","39","3.577","48.7","23.1","17.9","5.1",".","2.6","",".",".",".",".",".",".","2.6",".",".","."
"Senior","","","63","3.368","33.3","27.0","19.0","9.5","3.2","3.2","",".","1.6",".",".",".",".","1.6","1.6",".","."
"Undergraduates","","","146","3.441","40.4","22.6","19.9","8.2","2.1","2.7","",".","0.7",".",".",".",".","2.7","0.7",".","."
"Special","","","4","3.833","50.0","25.0",".",".",".",".","",".",".",".",".",".",".",".",".","25.0","."
"Graduate","","","8","3.900","50.0","12.5",".",".",".",".","",".","12.5",".",".",".",".","25.0",".",".","."
"","Dept. Total","","158","3.467","41.1","22.2","18.4","7.6","1.9","2.5","",".","1.3",".",".",".",".","3.8","0.6","0.6","."
