"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","N","NR","Other"
"448
HISTORY","","Grades","GPA","","","","","","","","","","","","","","","",""
"","336
001 301","13","3.551","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-China 1400 BC-589 AD","Course Total","50","3.514","36.0","38.0","14.0","4.0","4.0",".",".","2.0",".",".",".",".","2.0",".",".","."
"Intro:History-Caribbean Soc","347
001","23","3.457","34.8","30.4","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","353
001 302","10","3.372","30.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","353
001 301","10","3.405","30.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","Course Total","20","3.388","30.0","30.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001 302","16","3.255","18.8","56.3","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","356
001 303","18","3.044","16.7","27.8","22.2","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","356
001 304","18","3.242","16.7","38.9","27.8",".","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"","356
001 301","17","3.246","35.3","17.6","23.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"Europe Betwn Wars,1919-1939","Course Total","69","3.190","21.7","34.8","20.3","5.8","13.0","1.4","1.4",".",".",".",".",".","1.4",".",".","."
"The Anglo-Saxons","360
001","7","3.286","42.9",".","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001 301","23","3.174","17.4","30.4","17.4","17.4","8.7",".",".","8.7",".",".",".",".",".",".",".","."
"","365
001 304","18","3.045","5.6","33.3","27.8","5.6","16.7",".",".",".",".",".",".",".","5.6",".",".","5.6"
"","365
001 303","18","3.276","11.1","38.9","33.3","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","365
001 305","18","3.160","11.1","16.7","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","16.7"
"","365
001 302","18","3.371","27.8","22.2","33.3","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","365
001 306","17","3.120","17.6","11.8","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","365
001 307","18","3.000","11.1","27.8","27.8","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","365
001 308","16","3.402","25.0","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3"
"Rev&Natlism-Ireland,1780-On","Course Total","146","3.189","15.8","27.4","30.8","13.0","4.8","0.7",".","2.7",".",".",".",".","0.7",".",".","4.1"
"","378
001 303","16","2.965","18.8","18.8","37.5","6.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"","378
001 301","20","3.293","20.0","30.0","25.0","15.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","378
001 302","18","3.234","22.2","22.2","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","378
001 304","19","3.058","10.5","36.8","26.3","15.8",".",".","5.3",".","5.3",".",".",".",".",".",".","."
"Hist of Africa Since 1870","Course Total","73","3.140","17.8","27.4","31.5","13.7","1.4","1.4","2.7","2.7","1.4",".",".",".",".",".",".","."
"","395
001 304","17","3.540","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","395
001 302","19","3.531","26.3","52.6","10.5","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","395
001 303","15","3.696","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","395
001 301","19","3.608","31.6","47.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".","10.5","."
"United States, 1877-1914","Course Total","70","3.589","31.4","52.9","8.6","2.9",".",".",".",".",".",".",".",".","1.4",".","2.9","."
"","398
001 303","17","3.500","17.6","64.7","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","398
001 304","17","3.453","41.2","47.1",".",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","398
001 302","18","3.522","38.9","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","398
001 301","28","3.451","17.9","25.0","25.0",".",".",".",".","32.1",".",".",".",".",".",".",".","."
"The US Since 1945","Course Total","80","3.481","27.5","40.0","17.5","1.3","1.3",".","1.3","11.3",".",".",".",".",".",".",".","."
"","401
001 302","17","2.893","5.9","11.8","23.5","41.2",".",".",".",".",".",".",".",".","5.9",".","11.8","."
"","401
001 303","16","3.179","12.5","18.8","43.8","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"","401
001 301","15","3.000",".","26.7","33.3","13.3","6.7",".",".","6.7",".",".",".",".","13.3",".",".","."
"","401
001 304","16","3.333","18.8","31.3","37.5","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Amer Urban Hist 1620-1870","Course Total","64","3.109","9.4","21.9","34.4","18.8","1.6",".",".","1.6",".",".",".",".","9.4",".","3.1","."
"","403
001 304","18","2.844","5.6","16.7","22.2","33.3","11.1",".",".","5.6",".",".",".",".","5.6",".",".","."
