"L&S","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","N","NR","Other"
"504
INTL ST","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Asia-Age of Imperlsm,Nationlsm","140
001","","24","2.872","20.8","12.5","25.0","16.7","16.7","4.2","","4.2",".",".",".",".",".","",".",".",".","."
"","301
001 501","","21","3.119","14.3","23.8","47.6",".","14.3",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 503","","23","3.043","21.7","8.7","39.1","17.4","13.0",".","",".",".",".",".",".",".","",".",".",".","."
"","301
001 502","","25","2.938","12.0","12.0","32.0","32.0","4.0","4.0","",".",".",".",".",".",".","",".",".","4.0","."
"","301
001 504","","22","2.955","22.7","4.5","27.3","31.8","9.1","4.5","",".",".",".",".",".",".","",".",".",".","."
"Intro to International Studies","Course Total","","91","3.011","17.6","12.1","36.3","20.9","9.9","2.2","",".",".",".",".",".",".","",".",".","1.1","."
"","374
001 302","","7","2.786","14.3","14.3","28.6",".","42.9",".","",".",".",".",".",".",".","",".",".",".","."
"","374
001 303","","7","3.500","42.9","14.3","42.9",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","374
001 301","","2","2.750",".",".","50.0","50.0",".",".","",".",".",".",".",".",".","",".",".",".","."
"Growth&Develpmt Global Econ","Course Total","","16","3.094","25.0","12.5","37.5","6.3","18.8",".","",".",".",".",".",".",".","",".",".",".","."
"Topics in Global Security","601
001","","16","3.688","43.8","50.0","6.3",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Topics-Intl Pol Econ&Pol St","602
001","","12","3.318","50.0","25.0",".",".","8.3",".","","8.3",".",".",".",".",".","","8.3",".",".","."
"504
INTL ST","Dept. Total","","159","3.094","23.9","17.0","28.9","15.1","10.7","1.9","","1.3",".",".",".",".",".","","0.6",".","0.6","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","2.609",".","16.7","33.3",".","50.0",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","","12","2.940","33.3","8.3","16.7","16.7","16.7",".","","8.3",".",".",".",".",".","",".",".",".","."
"Junior","","","57","3.014","22.8","12.3","33.3","12.3","12.3","3.5","","1.8",".",".",".",".",".","","1.8",".",".","."
"Senior","","","81","3.197","24.7","22.2","25.9","18.5","6.2","1.2","",".",".",".",".",".",".","",".",".","1.2","."
"Undergraduates","","","156","3.089","23.7","17.3","28.2","15.4","10.9","1.9","","1.3",".",".",".",".",".","","0.6",".","0.6","."
"Special","","","2","3.000",".",".","100.0",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","","159","3.094","23.9","17.0","28.9","15.1","10.7","1.9","","1.3",".",".",".",".",".","","0.6",".","0.6","."
